Abbr.	Name
BLCA	Bladder urothelial carcinoma
BRCA	Breast invasive carcinoma
COAD	Colon adenocarcinoma
ESCA	Esophageal carcinoma
PRAD	Prostate adenocarcinoma
UCEC	Uterine Corpus Endometrial Carcinoma
THCA	Thyroid carcinoma
STAD	Stomach adenocarcinoma
READ	Rectum adenocarcinoma
LUAD	Lung adenocarcinoma
LUSC	Lung squamous cell carcinoma
KIRC	Kidney renal clear cell carcinoma
KIRP	Kidney renal papillary cell carcinoma
HNSC	Head and Neck squamous cell carcinoma
LIHC	Liver hepatocellular carcinoma
KICH	Kidney chromophobe
