	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
A1BG	3.17673670372909	0.117556945077943	0.809427942918842	0.145234601926424	0.884525647165233	0.999658563836992	A1BG
NAT2	1.08146897190059	4.30369453530857	3.27100570029942	1.31570988546875	0.18827143498508	0.999658563836992	NAT2
ADA	11.6624248612704	0.359028774431958	0.61395183832714	0.584783287578744	0.558693443144223	0.999658563836992	ADA
CDH2	6.11887832283591	-1.13569796289111	1.28369849516958	-0.88470771537446	0.376314293368151	0.999658563836992	CDH2
AKT3	21.8455056366189	0.0400233961185837	0.627889338947067	0.063742754711683	0.94917506061114	0.999658563836992	AKT3
ZBTB11-AS1	1.09194920687945	-0.154089186264888	1.31100966998619	-0.117534744245258	0.906436312912341	0.999658563836992	ZBTB11-AS1
MED6	9.56067777739475	-0.10784425418618	0.466447048430073	-0.231203637259905	0.817156604428105	0.999658563836992	MED6
NR2E3	0	NA	NA	NA	NA	NA	NR2E3
NAALAD2	0.092027934357912	-0.391502943884337	3.44865606662119	-0.11352333672053	0.909615662646079	0.999658563836992	NAALAD2
SNORD116-1	0	NA	NA	NA	NA	NA	SNORD116-1
SNORD116-2	0	NA	NA	NA	NA	NA	SNORD116-2
SNORD116-3	0	NA	NA	NA	NA	NA	SNORD116-3
SNORD116-8	0	NA	NA	NA	NA	NA	SNORD116-8
SNORD116-12	0	NA	NA	NA	NA	NA	SNORD116-12
SNORD116-13	0	NA	NA	NA	NA	NA	SNORD116-13
SNORD116-15	0	NA	NA	NA	NA	NA	SNORD116-15
SNORD116-16	0	NA	NA	NA	NA	NA	SNORD116-16
SNORD116-20	0	NA	NA	NA	NA	NA	SNORD116-20
SNORD116-23	0	NA	NA	NA	NA	NA	SNORD116-23
SNORD116-24	0.410881799378383	-0.254101410433519	2.36393545985787	-0.107490840908489	0.914399591120444	0.999658563836992	SNORD116-24
SNORD116-25	0	NA	NA	NA	NA	NA	SNORD116-25
SNORD116-26	0	NA	NA	NA	NA	NA	SNORD116-26
SNORD116-28	0	NA	NA	NA	NA	NA	SNORD116-28
SNORD116-29	0	NA	NA	NA	NA	NA	SNORD116-29
DDTL	0.393759475872794	-0.254101419550097	2.381278957588	-0.106707959913893	0.915020667568614	0.999658563836992	DDTL
TLX1NB	0	NA	NA	NA	NA	NA	TLX1NB
NAALADL1	1.12034074419769	1.43086934895386	2.16370443116693	0.661305365161251	0.508416501466566	0.999658563836992	NAALADL1
CDKN2B-AS1	0	NA	NA	NA	NA	NA	CDKN2B-AS1
118126072	0	NA	NA	NA	NA	NA	118126072
SIGLEC14	3.4381282079795	-0.737831831830856	1.51746543463241	-0.486226450363653	0.626806619800242	0.999658563836992	SIGLEC14
ACOT8	5.71550142077465	0.239764550738377	0.558763833900801	0.429098191743282	0.66785176816522	0.999658563836992	ACOT8
ABI1	21.023669562886	0.387702460229272	0.457512495078484	0.847413927269381	0.396764444300402	0.999658563836992	ABI1
GNPDA1	28.3589942303621	0.183962117882078	0.388357670382321	0.473692505418974	0.635719198522998	0.999658563836992	GNPDA1
MIMT1	0	NA	NA	NA	NA	NA	MIMT1
KCNE3	3.72425278101886	1.57645769336817	1.14268559141694	1.37960757115467	0.167707505046836	0.999658563836992	KCNE3
ZBTB33	9.64835318610179	-0.0544652849023346	0.434047009497084	-0.125482456302237	0.900141613098	0.999658563836992	ZBTB33
SNHG8	49.53815057957	0.224180212715498	0.565960405853531	0.396105823652822	0.692026962290607	0.999658563836992	SNHG8
GTF2IP4	0	NA	NA	NA	NA	NA	GTF2IP4
GS1-600G8.3	0	NA	NA	NA	NA	NA	GS1-600G8.3
CDH3	17.9251553100188	1.57640710823435	1.7702055239109	0.89052208172507	0.373185616915892	0.999658563836992	CDH3
TANK	18.3551030571486	0.257557898713898	0.449714624081047	0.572714083381645	0.566838300192651	0.999658563836992	TANK
HAVCR1P1	0	NA	NA	NA	NA	NA	HAVCR1P1
POM121C	7.97700486464211	-0.336495978126138	0.487736260787892	-0.689913802149055	0.490248395626805	0.999658563836992	POM121C
ZSCAN30	1.96453788991479	-0.747787902667929	0.997262225352919	-0.749840797793474	0.453350593965216	0.999658563836992	ZSCAN30
MCTS2P	3.88672286773718	-0.509128038444276	0.976102060162846	-0.521593037473291	0.601953712056839	0.999658563836992	MCTS2P
ANKRD26P3	0	NA	NA	NA	NA	NA	ANKRD26P3
SRA1	17.2464893270426	0.299786212908375	0.404402247132414	0.741306990834338	0.458507323915688	0.999658563836992	SRA1
SNORD119	0.3879981093101	2.03419979908819	2.83347025095244	0.717918177684913	0.472807738999477	0.999658563836992	SNORD119
SNORD121A	0	NA	NA	NA	NA	NA	SNORD121A
SNORD19B	1.47439782749331	0.673074220787907	1.28324131043903	0.524511029463063	0.599923150508153	0.999658563836992	SNORD19B
SNORD105B	0	NA	NA	NA	NA	NA	SNORD105B
SNORD123	0.196630722163743	1.8479712210107	3.40127377980293	0.543317398318277	0.586911287257197	0.999658563836992	SNORD123
UCKL1-AS1	0	NA	NA	NA	NA	NA	UCKL1-AS1
SNORD127	0	NA	NA	NA	NA	NA	SNORD127
SNORD126	0	NA	NA	NA	NA	NA	SNORD126
SNORD11B	0	NA	NA	NA	NA	NA	SNORD11B
