Gene	log2FC	P-value
MMP11	5.468184788163397	1.11022E-16
CDKN2A	4.288667775978446	1.62448E-12
CST6	4.126904352214215	1.1074E-07
IGF2	3.2302173678339345	6.86118E-13
TROAP	2.959179804721521	0
CENPA	2.9347677515149013	0
LAMC2	2.8670554644673976	4.7724E-08
RAC3	2.852867511958951	1.62437E-12
CDH3	2.839196704283103	1.62448E-12
MMP1	2.8170169968649	2.5782E-08
CXCL10	2.804043210113489	3.9127E-09
ETV4	2.775216042306856	0
NUF2	2.7727608077101484	0
PYCR1	2.750335388604113	1.62448E-12
MYBL2	2.7325874776283343	0
UBE2C	2.7206350525294285	1.62437E-12
C9orf140	2.68670560523726	0
C1QTNF6	2.6327187795406455	1.62437E-12
HJURP	2.6190527142125397	1.11022E-16
IFI6	2.6170888002351083	1.62448E-12
PLA2G2F	2.6157107636910073	1.9762E-14
CDC20	2.6121744117721226	1.62437E-12
GTSE1	2.609535410251031	1.62448E-12
MELK	2.60198715864272	1.62481E-12
HIST3H2A	2.5948682110552825	0
COL7A1	2.589545884842998	0
UHRF1	2.5673015098314136	0
PABPC1L	2.56298945997267	1.6247E-12
TPX2	2.559762723693637	2.56462E-14
KIF2C	2.5538958598885126	0
HIST2H2AA3	2.5538697125822094	0
MEST	2.55022124669073	1.11022E-16
C4orf48	2.5429502452948762	1.62437E-12
APOC1	2.5176115482949184	0
HIST1H1C	2.507976746409727	0
CDK1	2.5051295893896515	1.62625E-12
PLK1	2.4935761370625444	1.62437E-12
HIST1H2BD	2.490409744927647	1.62437E-12
AURKA	2.4849581294307534	1.62459E-12
TMEM132A	2.481671632684083	0
C15orf48	2.4693265886185465	5.44687E-12
ISG15	2.467296382850843	0
CDCA8	2.446718817694969	1.11022E-13
NEK2	2.4465187643213295	7.07034E-12
ZWINT	2.4342882853022076	1.4766E-14
RECQL4	2.428403322016549	0
AURKB	2.4155646155858816	1.62448E-12
CDC45	2.4108811492528224	1.62448E-12
RARRES1	2.40708746748364	1.7939E-08
CCNE1	2.396964231413442	0
TUBB3	2.365577757759778	1.29452E-13
CDT1	2.352806723467987	1.62448E-12
PRSS8	2.3489135079961585	1.62659E-12
CDCA3	2.3217918466821175	2.30782E-12
