Gene	log2FC	P-value
COL10A1	7.03347552459249	0
CST1	6.854800832391171	1.62426E-12
COL11A1	6.499044769682257	0
MMP11	6.22872597069989	0
S100P	4.777837778207876	1.62448E-12
COMP	4.58168126719018	1.62459E-12
CPB1	4.469501104920361	9.07807E-12
GJB2	4.283195010142513	0
NEK2	4.142953939605559	1.62448E-12
PKMYT1	4.117999497314584	0
UBE2C	4.091168646891953	1.62459E-12
PITX1	4.008099820009598	1.62448E-12
TROAP	3.8866715812393284	1.62437E-12
NUF2	3.8352986597309924	0
LRRC15	3.7983060431086426	1.62459E-12
MYBL2	3.7538602475709375	0
MELK	3.7059447834362356	0
S100A8	3.5401487075160465	1.3062E-06
PLK1	3.5190892339177955	1.62448E-12
FOXM1	3.507629210983976	1.62459E-12
TPX2	3.4755723212408505	0
EPR1	3.442069039942173	1.62437E-12
CXCL10	3.4372730794737634	1.11022E-16
BIRC5	3.433924458475181	0
CDC20	3.4312339679246944	1.62437E-12
PBK	3.41427319010997	1.62437E-12
KIF2C	3.395811729977421	1.62448E-12
KIF20A	3.3902355248706777	1.62437E-12
AURKB	3.3808591813433178	1.62437E-12
TOP2A	3.379226422226762	0
CEP55	3.3632908130347103	1.62448E-12
CDCA3	3.3505691226236602	0
ISG15	3.3443357907355296	1.62448E-12
ANLN	3.338568199314304	0
INHBA	3.319427219534916	0
KIAA0101	3.2956886832880308	1.62448E-12
RRM2	3.291906182845596	0
UBE2T	3.2452942695893543	1.62448E-12
CCNB2	3.209077097571894	0
NAT1	3.1771084162174335	0
C19orf21	3.1536432768241283	0
PTTG1	3.1361483619262223	1.62448E-12
CDK1	3.129441813315391	0
CENPF	3.105995000400515	1.62437E-12
TUBB3	3.0985078185648014	1.62448E-12
MMP9	3.082584262198322	2.0943E-05
AURKA	3.068692945804851	0
KIFC1	3.059533804408047	0
S100A9	3.0307062403770795	9.19076E-12
CXCL9	3.018528308945867	1.11022E-16
CDCA5	2.996374882407083	1.62448E-12
TK1	2.9845692343324597	1.62448E-12
NUSAP1	2.9696903555923515	0
ASF1B	2.933813655646277	0
MKI67	2.9322587968199416	1.62448E-12
CDCA8	2.919423961516196	0
MATN3	2.9065955604678306	0
FN1	2.8753838495221364	0
C20orf103	2.8675988100452554	0
HIST2H2AA3	2.864506254783522	1.62437E-12
CDKN3	2.8490283608555895	1.62437E-12
METRN	2.8193032505474753	0
SPAG5	2.809922315202445	1.62448E-12
RAMP1	2.7981100334742406	0
CENPM	2.76974750303842	0
CCNA2	2.7668876540262084	0
CTXN1	2.75135255759425	0
CCDC64	2.7426780964582567	1.62448E-12
IFI6	2.7348307605587587	0
COX6C	2.6722494589177193	0
CAPS	2.6672325668256924	1.62437E-12
MAPK8IP2	2.665572256473219	1.11022E-16
C19orf33	2.654491004941675	1.62437E-12
E2F1	2.644807936313288	0
KIF23	2.6412594365353463	0
PAQR4	2.6396118621075413	0
TFF1	2.613559282149269	1.62481E-12
PRC1	2.5931311809864415	1.62437E-12
GPRC5A	2.54620436161844	0
S100A14	2.539681464469	0
ZWINT	2.53020553549783	1.62437E-12
DEGS2	2.522108033099344	1.62437E-12
AKR7A3	2.519693866407199	1.62437E-12
HIST1H2BD	2.5196499013813276	1.62437E-12
HIST1H2BC	2.5166607339201668	0
C16orf75	2.5149473982640136	1.62448E-12
CFB	2.511198831352689	1.11022E-16
CXCL17	2.49836737947065	3.8745E-10
CKS2	2.4964992461064286	1.62437E-12
KIF11	2.4775212371309854	0
TRIP13	2.46966963183876	1.62448E-12
UBE2S	2.463809548091146	0
HIST1H4H	2.46141998237024	0
SLC7A5	2.447137536264832	1.11022E-16
SLC44A4	2.4452929115249114	1.62437E-12
TSPAN1	2.4207520990235314	1.62448E-12
CCNB1	2.4202731208270123	1.62448E-12
MUC1	2.4091583937907797	0
FLJ45983	2.403000916357374	1.62448E-12
CTHRC1	2.4024955143237623	1.62448E-12
MFAP2	2.398476810238871	1.62437E-12
HOXC10	2.398121351423096	1.62459E-12
SLC16A3	2.383397368218726	0
HIST2H4A	2.3661683423520183	0
TFF3	2.351451782345651	0
BGN	2.320049901778943	0
HMGB3	2.309811237263609	1.62448E-12
C1QTNF6	2.309636366982016	0
PAFAH1B3	2.3091670722136786	1.62448E-12
CACNG4	2.3008586799466006	0
MLF1IP	2.300279461024527	0
TLCD1	2.295351899778013	1.11022E-16
ANXA9	2.2895066169326768	1.62448E-12
TACC3	2.286469942982091	0
LMNB1	2.286146404856587	1.62448E-12
GDF15	2.2858538658902505	1.6247E-12
AGR2	2.2729402956290223	1.62459E-12
PRR15	2.2708365926237692	1.62448E-12
SPP1	2.256165093649509	0
SBK1	2.246289846473459	0
AGR3	2.246129192356154	0
CREB3L1	2.2225826307143826	1.62459E-12
EEF1A2	2.22207092730029	5.1913E-08
EZH2	2.212520658977635	1.11022E-16
PYCR1	2.211664912054081	1.62459E-12
HIST1H1C	2.207733033086544	1.62448E-12
SDS	2.2053213102283653	0
RHPN1	2.2028446390855123	1.62448E-12
SQLE	2.1785843657468806	1.62448E-12
MAD2L1	2.1513617385688333	1.62437E-12
C4orf48	2.1433756412368883	0
KRT81	2.1391610406514565	1.62614E-12
EPN3	2.132782591843478	0
CRIP1	2.1245889715310797	1.62448E-12
FGD3	2.1204177049226876	1.62448E-12
COL1A1	2.1198372089037893	1.62437E-12
GINS2	2.10975703074011	0
HPN	2.108071069518953	0
TMEM132A	2.1065897945845626	0
TYMS	2.1053350447498476	0
HIST1H4J	2.0998769446299677	0
OLR1	2.0882726359434858	1.62448E-12
HN1	2.0775846180694466	1.62459E-12
POSTN	2.072420167045139	1.62448E-12
KPNA2	2.0584337419257643	1.62437E-12
C9orf116	2.0573877277019847	0
BAI2	2.0571057875750713	1.62437E-12
