Gene	log2FC	P-value
CST1	8.807831552908944	1.68443E-12
MMP7	7.963460565699008	1.62448E-12
KRT23	7.474768798212494	1.62437E-12
KRT80	7.153513565069611	1.62448E-12
CA9	6.735001646330315	1.62448E-12
FOXQ1	6.375403279734416	1.62437E-12
CDH3	6.17954773860679	1.62437E-12
KIAA1199	5.851976755167055	0
CLDN2	5.836455437508964	0
LY6G6D	5.71882218445577	1.62448E-12
ETV4	5.6235088800400295	1.62448E-12
KLK10	5.578523676356889	1.62459E-12
CLDN1	5.087296549606781	1.62448E-12
GRIN2D	5.039573439075583	0
NKD1	4.952268528994164	1.62448E-12
C6orf223	4.946274771987207	0
MMP3	4.842644271228227	0
MMP11	4.676425793019432	1.62459E-12
TRIM29	4.587463971783877	0
TESC	4.5812888140035435	0
GYLTL1B	4.578403759789506	0
MMP1	4.525861549003978	1.62437E-12
NKD2	4.388020009150801	0
PRSS22	4.365261893961609	1.11022E-16
VWA2	4.281185612875229	1.62448E-12
CTHRC1	4.214945069170647	1.62448E-12
SPP1	4.150255864676773	1.62448E-12
H19	4.086621592229414	4.7375E-09
TRIB3	3.82267331279699	1.62448E-12
TNS4	3.778303779562701	0
MDFI	3.7073896301936284	0
SERPINB5	3.706859111434101	1.62448E-12
CGREF1	3.648635381113486	1.62448E-12
EREG	3.57661794879664	0
SLCO4A1	3.5610941891525143	0
SPTBN2	3.4997959195512087	0
ASCL2	3.4883682049548446	1.62448E-12
TNFRSF6B	3.4636331227123525	1.62526E-12
TGFBI	3.339910143134595	1.62448E-12
PABPC1L	3.289021826744442	1.11022E-16
TDGF1	3.247732056788112	1.62437E-12
SLC7A5	3.2117870307526024	0
IL8	3.1514804984292573	1.72262E-12
SRPX2	3.1503452430140397	1.62437E-12
SLC6A6	3.1259219103351312	1.62448E-12
LGR5	3.090800486466256	0
AZGP1	3.087284073300557	1.62448E-12
COL1A1	3.0776597164176667	0
ATHL1	3.0516683176850727	0
GDF15	3.0347325842935446	1.62448E-12
MYEOV	3.0315034546892634	1.62448E-12
MSLN	3.03009564230236	1.62448E-12
CHI3L1	3.007495659665889	0
SULT2B1	3.005613055370724	1.62448E-12
HOXB8	2.998099824020643	1.62448E-12
MLXIPL	2.945634639417109	1.62437E-12
VSNL1	2.930416282801858	1.62437E-12
BGN	2.8957787480796275	0
CXCL1	2.8801620820610867	0
CXCL3	2.8794249556089047	0
PSAT1	2.8730594556982156	1.62448E-12
GDPD5	2.8362521138913865	0
NFE2L3	2.834718448473466	1.62448E-12
FOSL1	2.784366465761806	0
PCSK9	2.7813077571011373	0
THBS2	2.7784293728102325	0
RPL36A	2.7764702016333356	1.62448E-12
PHLDA1	2.775950342768863	1.62459E-12
TMEM132A	2.681866863848086	1.62459E-12
MFAP2	2.6672004022547693	1.62448E-12
DBNDD1	2.6381567736544342	1.62448E-12
TNFRSF12A	2.6307034210796254	0
APCDD1	2.5681084556221134	9.33E-10
MTHFD1L	2.53063693462033	0
AXIN2	2.5262538928100478	0
RGS16	2.521071168484956	1.62459E-12
NEBL	2.4840892076679313	1.62459E-12
SCD	2.477246281475184	1.62448E-12
MACC1	2.4691999210599667	0
RNF43	2.4676541268449097	1.62448E-12
REG4	2.4561517181240027	1.2703E-08
SNTB1	2.451161538989764	1.62426E-12
SMOX	2.4456083972411915	0
PPM1H	2.4403207596310064	1.62448E-12
UBD	2.4401702914969983	7.86038E-14
C7orf68	2.4331629574533955	1.62437E-12
SERPINE1	2.4286658329367894	8.2969E-08
SULF1	2.4228767724668274	1.62459E-12
SLC17A9	2.408644473914404	0
ANLN	2.3958094590472703	1.62448E-12
TEAD4	2.375774562947197	0
TRIP13	2.37511114687353	1.62448E-12
S100P	2.3747779726815943	1.62448E-12
RECQL4	2.3193530002007843	1.62448E-12
GTF2IRD1	2.3165102612199053	1.62448E-12
CXCL2	2.3143493508709536	1.62426E-12
CDC25B	2.2987301465007	0
NDUFA4L2	2.297326809563727	2.2902E-11
PMAIP1	2.2907492691691176	1.62437E-12
RPL22L1	2.2858323294104785	1.62437E-12
PLAU	2.2735228459520447	0
KIAA1274	2.2598638469823795	0
COL12A1	2.258717189244525	1.62437E-12
ATP11A	2.2555664544926364	0
ProSAPiP1	2.2541635187502767	1.62437E-12
COL5A2	2.248781767539379	1.62448E-12
PTP4A3	2.243743593205771	1.62448E-12
UBE2C	2.2405450755239347	0
PTK7	2.2390090960591165	1.62437E-12
C8orf73	2.2294869382438325	1.62448E-12
TRPM2	2.229249142785433	1.62437E-12
ENC1	2.227614711287157	1.11022E-16
SKA3	2.219536978851551	1.62448E-12
GZMB	2.2164964861798984	1.64546E-12
LCN2	2.211689026353247	1.79801E-12
PVRL4	2.2080286996527874	1.62448E-12
C10orf81	2.1935251605394797	0
TROAP	2.192483897856838	0
FXYD5	2.1696423898798836	1.62448E-12
UHRF1	2.1683822600001563	0
TGIF2	2.1679311287224605	0
C9orf140	2.1531176823222746	1.62448E-12
ORC6L	2.1462395523636397	1.62448E-12
DPEP1	2.1402733201116804	0.000102507
TCF7	2.138164416529935	1.62448E-12
TPX2	2.1201693114195415	1.11022E-16
ECT2	2.1198660777911074	0
MYBL2	2.1126940417280773	1.62459E-12
GALNT6	2.091933714205988	1.62448E-12
IQGAP3	2.0896968477197504	1.62448E-12
SOX9	2.0876168846814522	1.62448E-12
OSBPL3	2.0870003857538664	0
MET	2.0847046897684676	1.62437E-12
COL1A2	2.081685635043355	0
TIMP1	2.0723115137831742	0
LOC388796	2.06630120195523	0
COL5A1	2.055982546040376	1.11022E-16
AREG	2.052529459483495	1.62448E-12
LIF	2.0382265840719214	1.62448E-12
PMEPA1	2.038155779199801	0
NSUN5P1	2.032471015911819	0
SLC39A10	2.031745222985625	1.62437E-12
AGT	2.0294387824684614	0
FKBP10	2.0258120425197275	0
MYC	2.023365743882068	0
JAG2	2.015573455542184	1.62448E-12
NUF2	2.01320143126975	0
BMP4	2.0046208596961352	0
PLEKHG4	1.9921785592995633	1.62448E-12
NSUN5P2	1.988469904703462	1.62448E-12
S100A11	1.9843568523054487	1.62448E-12
TOMM34	1.9832011177119122	1.62448E-12
FGFRL1	1.981797086911476	0
RFC3	1.968513612662295	0
TOP1MT	1.9542227537207837	1.62448E-12
BOP1	1.950490459033809	0
JPH1	1.9489375081904479	0
SPNS2	1.9444553462204373	1.62459E-12
EPHB3	1.9426852994371908	1.62437E-12
HES6	1.9344035072482322	0
C20orf199	1.9298154729648853	1.62459E-12
LOXL2	1.9237911603503115	1.62437E-12
SNHG1	1.9181035778385833	0
PAQR4	1.9156736634564384	1.62437E-12
PUS7	1.9093041445550325	1.62448E-12
LY6E	1.9086919913808669	1.62448E-12
CDH11	1.9079121778251522	1.62437E-12
FAM92A1	1.903748227699744	1.62448E-12
E2F1	1.8936185096631888	0
