Gene	log2FC	P-value
CA9	6.160815172604964	1.62437E-12
MMP11	5.5669535207005305	1.62437E-12
INHBA	4.713051669370936	0
MMP9	4.338658460410183	1.62448E-12
HOXD11	4.316105551957847	1.62448E-12
MMP12	4.169028507173267	1.62426E-12
ADAM12	4.000727429903624	0
LAMC2	3.9738197404516735	0
HOXB7	3.962508629672639	0
ISG15	3.9295814783831498	0
POSTN	3.9028260298182076	0
AIM2	3.85271445114755	0
CDKN2A	3.7788143148867857	0
MMP1	3.628798244433019	1.62437E-12
PTHLH	3.6166458978324347	1.62448E-12
TGFBI	3.5947555387478345	1.11022E-16
COL5A2	3.4682312134460513	0
TM4SF19	3.4553584933194434	1.62437E-12
COL5A1	3.4164434677815008	1.62448E-12
COL1A1	3.386642235077078	0
NELL2	3.3800322835810963	0
MMP3	3.3781923347715703	1.62437E-12
FN1	3.3763308988243677	1.62459E-12
IFI6	3.3675963531268955	1.62448E-12
PCSK9	3.3229821827340937	1.62448E-12
MFAP2	3.3151259678527056	1.62437E-12
LOXL2	3.3113641416981863	0
CXCL10	3.2890820404313423	0
SERPINE1	3.273548673418186	0
MMP10	3.2250914267355	9.297E-10
COL4A6	3.2228218783813176	1.62426E-12
CTHRC1	3.2158470666856926	1.62437E-12
LAMA3	3.192427436840876	1.62459E-12
COL12A1	3.181106470361615	0
CXCL13	3.11650002696624	0
ENO2	3.106060215096269	0
FST	3.0878959089391107	1.62437E-12
C1QTNF6	3.057630736240647	1.62448E-12
GBP5	3.0481820516567084	1.11022E-16
C7orf10	3.015804294851429	1.62448E-12
LEPREL1	3.0103078386402413	0
COL3A1	2.9813435382909184	1.11022E-16
COL4A1	2.961590916176797	0
SPP1	2.9258226156965015	2.82507E-12
BST2	2.9068565397168666	1.62448E-12
OASL	2.889084619744374	1.11022E-16
COL1A2	2.875640698482665	0
UCHL1	2.8654868380619014	1.62448E-12
PLAU	2.8638087334271445	0
FAP	2.832585773689928	0
IGF2BP2	2.8306888483209134	1.62448E-12
RSAD2	2.828055053991377	0
CHST2	2.8105354411878043	1.62448E-12
COL6A3	2.803471220221239	0
LY6K	2.7576292609148054	1.62459E-12
NRG1	2.7568523606841233	0
ANO1	2.7462143276190174	1.62437E-12
NXPH4	2.7277891875147837	1.62437E-12
COL7A1	2.7220679962407455	1.62448E-12
ITGA5	2.7108857277140346	1.62448E-12
CXCL9	2.700848135011646	0
AMIGO2	2.692559369817466	0
SULF1	2.6744930363558526	1.62437E-12
ODZ2	2.633985663449881	0
SERPINH1	2.633050022292121	1.62448E-12
FSTL3	2.632929120691157	0
COL5A3	2.62955281396373	1.62448E-12
PMEPA1	2.616111323783791	0
IFIT1	2.597090507984764	1.62437E-12
MYBL2	2.5966949627946776	0
COL4A2	2.567555897410164	1.62448E-12
COL4A5	2.56128769316007	1.62448E-12
DFNA5	2.5395276533200857	0
RPL39L	2.518782128127401	1.62448E-12
IFIT3	2.5079936072902145	0
COL27A1	2.5016209390124704	0
COL6A1	2.49178601522154	0
IFI44	2.4856824925844134	1.62448E-12
FEZ1	2.483916235376379	0
TNC	2.4837783135177918	1.11022E-16
RBP1	2.4796027750792877	1.62448E-12
PDPN	2.4766822887481146	0
GREM1	2.471583084700192	1.62459E-12
IFI27	2.470238768166026	1.62448E-12
FOXM1	2.4691127804074338	1.62437E-12
IDO1	2.4647836131787875	6.4706E-10
NETO2	2.4637778996528183	1.62448E-12
CHST11	2.448177934604242	0
PKMYT1	2.4387053786210946	1.62448E-12
CDCA5	2.4245104269770748	0
CDH11	2.423153718760949	1.62437E-12
PXDN	2.418985665884693	1.62448E-12
AKR1C1	2.417189877980162	1.68809E-12
EPSTI1	2.4130071080884368	0
AKR1C3	2.4071668602142746	2.55351E-15
NID1	2.3975501825587946	1.11022E-16
BIRC5	2.3808651612738125	1.62448E-12
TROAP	2.3797298722718048	0
MCM2	2.3749995573470137	0
SPARC	2.372003271353978	1.62448E-12
ITGA6	2.3652474973524322	0
ADAM8	2.364540939740268	0
ALG1L	2.3582338263949327	1.62448E-12
RFC4	2.354676738331144	0
CSPG4	2.3542947870868853	0
CDC45	2.353420117877971	0
SOCS1	2.3474806348124453	1.62437E-12
USP18	2.3459162097716524	1.62437E-12
DCBLD1	2.345230479202123	1.62437E-12
LUM	2.3445311442317447	1.62448E-12
