Gene	log2FC	P-value
PIP	8.745758063086962	7.6264E-05
KLK4	8.44452343075803	1.5049E-08
KLK15	7.0463201207394235	1.62448E-12
LRRTM1	6.953138215254575	7.585E-09
CFTR	6.514407202183029	4.3683E-09
KLK3	6.0012329925528105	1.62437E-12
SPINK7	5.960130368852986	7.4527E-07
DHRS2	5.89058662196215	2.0067E-06
ANO4	5.8695102004670705	1.76159E-12
SFTPB	5.777998902977751	3.6199E-07
GLDN	5.739285866635196	4.0828E-09
LRRC14B	5.730399694040701	2.20923E-12
FAM70A	5.675935934307252	5.7729E-09
TRIM50	5.320476403437498	1.64491E-12
HCN2	5.262272385373477	1.62437E-12
CRTAC1	4.645130526593534	3.5306E-05
TTR	4.596790152596353	0.00022113
KRTAP5-8	4.5202587910338545	9.02145E-12
SYNGR3	4.494075313137499	1.62437E-12
SRRM3	4.469395530250549	1.5311E-08
CYP11A1	4.4379723407070415	0
NRXN3	4.3637853640617195	1.98941E-12
WBSCR17	4.31838116240528	1.62437E-12
CEND1	4.22362074161242	6.7227E-10
NXPH4	4.205050141981245	2.3932E-10
FOXI2	4.083261293867313	1.1048E-07
MT3	4.082569820197705	2.0861E-05
PVALB	4.078927721125081	0
HS6ST3	4.052132800950571	1.6841E-12
THRSP	3.9900486568205613	1.83761E-05
CLNK	3.973973272170728	0
FBN3	3.9576933192205357	1.11022E-16
SMOC1	3.931912340372995	6.9216E-09
BAALC	3.895994426469126	1.3623E-08
TIMD4	3.8936905428296757	6.4058E-10
TNFAIP8L3	3.8335410754801726	5.29243E-13
SPINK1	3.8249260369494325	0.00060378
FGF14	3.81011705494375	2.9526E-06
C15orf59	3.7716344580184504	0
ST8SIA5	3.761293960359808	0
HAGHL	3.6795301867557835	1.62448E-12
MYRIP	3.5348495876316117	6.59983E-12
SDCBP2	3.4814532414668466	1.7123E-12
VSIG2	3.4594806995992444	1.2282E-07
GPNMB	3.431827658135	2.724E-09
NTN1	3.3901616631540623	1.62448E-12
SLC2A4	3.3886195987281265	1.76503E-12
SCD	3.3751323393064587	2.1072E-09
CKMT1A	3.3298789013289998	1.62459E-12
PART1	3.321464505289312	5.0084E-10
FAM189A2	3.1984018304606785	9.99201E-16
MUC20	3.1271120380728785	3.2277E-11
FAM155B	3.093781094910823	5.0083E-10
GPSM2	3.0851257846511717	1.03673E-12
RHCG	3.0631780441080276	5.44009E-15
STAP1	3.0416239464264065	1.8688E-08
CCDC151	3.0351465835617755	0
FLJ23867	3.0312907698551395	2.7815E-10
CCDC28B	3.0223260784977906	1.84371E-05
ERP27	3.001667905441494	2.47657E-12
KIT	2.9856866889730367	2.01927E-12
STAC2	2.9554853731923614	2.17604E-12
LOC349114	2.93907497806469	1.62448E-12
CPXM2	2.934680917180392	1.5912E-11
ADAMTSL1	2.905966014319182	4.2796E-09
PLCG2	2.899900853608757	3.1173E-11
PKIB	2.8740966673663513	4.30767E-14
TSPAN5	2.8722102421792752	1.3432E-11
HEPACAM2	2.8469397694679324	3.15536E-12
ATP6V0D2	2.8419963644404205	1.62437E-12
DUSP15	2.836937609068914	1.62448E-12
TMEM38A	2.836419660143122	0
FOXI1	2.8300757134805297	0
PARVB	2.7932698421789386	1.62437E-12
SPARCL1	2.755281457576219	2.8397E-09
ADCY1	2.7552750866509275	7.6161E-07
NGFR	2.706169028537066	6.9761E-08
STXBP6	2.699683983950061	1.5504E-05
TBC1D14	2.6904339424467727	1.62448E-12
KIF21A	2.656376483678147	1.11022E-16
DMRT2	2.644428595997775	1.62481E-12
CKMT1B	2.642239086113439	1.62437E-12
IL18	2.593860071435295	2.00651E-12
