Gene	log2FC	P-value
SLC6A3	6.012513410252426	1.62448E-12
TNFAIP6	5.976407955074461	1.62437E-12
FABP7	5.786061133053	0
CA9	5.729876367146358	0
HSF4	5.634348217149874	0
FABP6	5.5784415770551234	1.62448E-12
NDUFA4L2	5.374835317972035	1.62437E-12
GABRD	5.291006199589253	0
LOC100131551	5.269155007883638	1.62437E-12
CYP2J2	5.118318055570417	0
DGCR5	5.043100840076376	1.62448E-12
APOC1	5.0233538776429345	1.62448E-12
PNCK	4.981430163477002	1.62448E-12
NPTX2	4.978332359751043	0
COL23A1	4.927736944168406	1.62448E-12
SCGN	4.857473029299358	0
ANGPTL4	4.830000274036266	1.62448E-12
C5orf46	4.820452649153003	1.62448E-12
ENPP3	4.627016416945115	1.62448E-12
C7orf68	4.57949842028532	0
LGI4	4.441448484773356	0
CDCA2	4.370890859360094	0
EGLN3	4.1684418124314115	1.62448E-12
NXPH4	4.151721511496932	0
CD70	4.129576488973123	0
AHNAK2	4.034089058342113	0
TREM2	3.9690843170222174	0
STC2	3.9233925331851935	0
SLC17A4	3.910526954800903	0
HLA-G	3.883604375724118	0
CP	3.8211557697736724	0
PGF	3.785806857902595	0
SEMA5B	3.784682656660359	0
NNMT	3.7599034771059703	1.62448E-12
INHBB	3.7569041050694314	1.62437E-12
SCARB1	3.7396139610758246	1.62448E-12
SPAG4	3.7093090740864176	0
TMEM91	3.6374867204619066	1.62448E-12
ESM1	3.6356780912360924	1.62448E-12
CD8A	3.6255658959496415	0
CXCL9	3.6019574198540147	1.62459E-12
CES8	3.52043975060561	1.62448E-12
C6orf223	3.5138387291614124	0
ST8SIA4	3.501546484046236	1.62448E-12
C1QL1	3.497843597243247	1.62437E-12
VEGFA	3.4875497758565253	1.62448E-12
TNFRSF6B	3.4621548342157293	0
NKG7	3.4476380615371798	0
C3	3.4465826285268744	0
LOX	3.4436239796241193	1.62481E-12
TNFRSF4	3.435387487831228	1.62437E-12
ATHL1	3.415023555113044	0
CXCL10	3.3926945750259234	1.62459E-12
IGFBP3	3.3442426097813542	1.62437E-12
HK2	3.3435498091942	1.62448E-12
POU5F1	3.334635749541684	0
GZMK	3.315944959925582	0
NOL3	3.3028024159771032	1.62437E-12
ODF3B	3.293201827799481	0
IDO1	3.288299975919855	1.62448E-12
FCGR3A	3.2532186166736463	0
NETO2	3.2457858041254095	1.62437E-12
LILRB4	3.1521265561136085	0
CCL5	3.150817132425627	1.11022E-16
HHLA2	3.1443846830598736	1.62448E-12
CGREF1	3.109599100090141	1.62437E-12
CST7	3.074357530790502	0
UBD	3.070341632807208	0
CTSW	3.068290809087581	1.62448E-12
GZMA	3.065611912443083	1.62437E-12
PCSK6	3.0341322694300503	0
SNHG12	3.0338699730445144	0
ENO2	3.0243071887288577	0
KCNMA1	3.01855971747536	0
RNASET2	3.010134129053984	1.62448E-12
GZMH	2.9969398671016823	0
DIRAS2	2.9886348452733267	1.62437E-12
ANGPT2	2.983744597718921	0
CD2	2.9695847666064434	1.62448E-12
RGS1	2.967263536510416	1.62448E-12
QRFPR	2.9606828771027884	0
SLC16A3	2.956669760280116	1.62448E-12
FAM26F	2.942399541938626	1.62448E-12
SCD	2.9419677277579357	1.62448E-12
PLIN2	2.9419665466927456	0
TRIB3	2.9298214242526845	1.62437E-12
TMEM45A	2.9272522026811827	1.62437E-12
CD300A	2.9272027683120605	0
PARVG	2.9269119312256775	1.11022E-16
ADORA3	2.9082804982650656	0
COX4I2	2.893635250397764	0
GAL3ST4	2.8858627072572234	0
FCGR1B	2.883013158894179	0
CD3D	2.8729617852470426	0
CTHRC1	2.8700014202986837	1.62592E-12
C1QB	2.8545400706269732	1.62448E-12
MSC	2.8530099014871015	1.62448E-12
GNLY	2.8399867477814573	0
GAL3ST1	2.8242024370200425	0
TYMP	2.8152289150212613	0
TGFBI	2.7971570479254964	1.97464E-12
PLXDC1	2.786224061110125	1.62448E-12
CSPG4	2.7297166919738	0
KRBA1	2.723655300268805	1.62448E-12
C1QC	2.7114224324209744	0
CXCR4	2.7109866900410964	0
OLFML2A	2.7102461604975043	0
FKBP10	2.680607078912288	1.62437E-12
COL1A1	2.6791060546966334	1.09468E-13
REG1A	2.6700292059029755	5.34228E-12
IGSF6	2.668216771135384	1.62448E-12
BHLHE41	2.6506098029360703	1.62448E-12
ADM	2.6500659758270575	0
VWF	2.6381999867136194	1.62437E-12
PRF1	2.6262409185103275	0
CD3E	2.62335753712068	0
OLFML2B	2.618589455934196	1.62448E-12
BARX2	2.611814755768231	1.62437E-12
LAMA4	2.583359308202074	0
LOXL2	2.582868544573008	1.62459E-12
LAIR1	2.576229626700273	1.62437E-12
ITGAL	2.573736954411493	0
RGS5	2.5699201256684283	1.62437E-12
TYROBP	2.5672942101675935	0
FGF11	2.562936616989766	1.62437E-12
CCL4	2.5329694725208194	0
C1QA	2.53188182901691	1.62437E-12
ZNF395	2.525827862477897	1.62448E-12
MYO1F	2.5025302651934185	0
LPCAT1	2.4933072638434264	0
PNMA2	2.4746047639371036	0
CCL4L2	2.4570844082817347	1.62448E-12
F2RL3	2.4474061603576365	1.62448E-12
APLN	2.4462090694032277	0
STAMBPL1	2.4429558179373645	0
LAPTM5	2.4425740347723495	0
HLX	2.44198638892491	0
NMB	2.4416906059219325	1.62459E-12
SASH3	2.436926296836595	1.62448E-12
GOLGA8A	2.4319463992149832	1.62448E-12
PTPRCAP	2.4281068651807702	0
VIM	2.4148653523170234	1.62437E-12
CDK18	2.4143803611064945	1.62448E-12
FCER1G	2.411625978723133	0
LY86	2.3962060174304676	0
SAP30	2.3951491389408726	1.62448E-12
APBB1IP	2.39070195906386	1.62437E-12
HLA-F	2.3890747859315766	0
CCDC88B	2.3871577763890595	1.62459E-12
LYZ	2.3829534044351326	0
DLL4	2.3725485026718243	1.62448E-12
MS4A7	2.3689046573606976	0
LZTS1	2.367709733225173	0
ABCC3	2.3563299064461183	1.62448E-12
CD68	2.3516891352691065	0
DOCK2	2.348476954306161	1.62448E-12
ADSSL1	2.3439035270241884	0
NPIPL3	2.3336587450623867	1.62437E-12
CORO1A	2.3311166373671517	0
ITGB2	2.3288898524345027	1.62437E-12
HMOX1	2.3155901421100253	0
HLA-DQA2	2.3155005343220716	1.62448E-12
PFKFB4	2.311686455419447	0
CCND1	2.3071131511054865	1.62459E-12
NCKAP1L	2.298195048994625	0
PTTG1	2.2970742071422063	1.62448E-12
CCL20	2.2818382433232878	2.121E-10
NLRC5	2.2735989286598053	1.62437E-12
CCDC146	2.268636000762348	1.11022E-16
SEZ6L2	2.2679715666763043	0
SPI1	2.2664188102988647	1.62448E-12
BIRC3	2.2643941946735464	1.62437E-12
KIAA0802	2.2637809470914876	0
C1orf162	2.259914650312887	1.62448E-12
CAPN12	2.2598085152223977	1.62448E-12
ATG16L2	2.254894164335986	1.62448E-12
HLA-DQB1	2.2524300559358195	1.62448E-12
CHKB-CPT1B	2.2488347877650816	1.62448E-12
C1QTNF6	2.236938790494802	0
PRDM1	2.236195905481294	0
FMNL1	2.236005707699024	0
LRRC25	2.223861029222708	1.62426E-12
EHD2	2.2213307293805005	0
BTNL9	2.2163493084678993	0
CXCR7	2.2084814910129125	1.62437E-12
CLEC7A	2.206940513233588	0
CD36	2.2055021439500244	1.62448E-12
APOBEC3G	2.197462241067597	1.62448E-12
VASH1	2.1911564729793236	1.62448E-12
FAM38B	2.189937007240049	0
ALDOC	2.1894405292302284	1.62459E-12
C10orf10	2.1854704226330215	1.62448E-12
PLEK	2.1841355891351375	0
ISG20	2.1790369394111204	1.62437E-12
DGKD	2.17328320222741	0
DDB2	2.1729367580148864	1.62437E-12
PHKA2	2.171543210332552	1.62437E-12
AOAH	2.165275676714603	0
C19orf33	2.1622962115623428	1.62426E-12
TYMS	2.1602668090981596	0
LSP1	2.157568720342128	0
SDHAP3	2.1569112336051086	1.62437E-12
LST1	2.156534610995216	0
IL10RA	2.1560381060272613	0
LCP2	2.1533414230480026	1.62448E-12
CYTH4	2.151045344715102	0
PRKCDBP	2.1487272667605897	1.62448E-12
LOC100129034	2.146965655843774	1.62459E-12
RASSF2	2.1458032488064562	0
HLA-DQA1	2.1438516527044458	1.62448E-12
C21orf7	2.1413564650453614	0
MS4A6A	2.138010271871051	1.62448E-12
CAV1	2.134984289876854	0
KCNE3	2.134894252051627	1.62437E-12
FPR3	2.1348760814760035	1.62437E-12
PSMB9	2.134015713132592	1.62437E-12
AHSA2	2.1339136737953557	1.62448E-12
MASP1	2.1333466863219703	1.62448E-12
SLC29A4	2.1323651187935626	0
PLCB2	2.126304251659033	0
CLEC2B	2.1250429224887455	1.62448E-12
APOC2	2.1236052729168087	0.00032374
HSPB8	2.1194886243100513	1.62448E-12
WAS	2.1160252698402293	1.62448E-12
CD37	2.109981364436345	0
CLEC18A	2.1094992761383313	1.62448E-12
KIAA0895L	2.1068508142013176	1.62448E-12
LAT2	2.1058020511560556	0
NUSAP1	2.0912647417417634	0
C2	2.0855434374470097	0
MSR1	2.0853281263910346	0
PLK2	2.079071103331908	0
IL4I1	2.078075810626813	0
SERPINE1	2.07548483729465	0
SLC16A1	2.0735033442803044	0
