Gene	log2FC	P-value
CCL18	6.994969746724568	1.63358E-12
APOC1	6.178963202251581	1.62448E-12
TNFAIP6	5.440906069243768	0
HAMP	5.354623506056121	1.62437E-12
EEF1A2	4.5414478642208485	1.62448E-12
TREM2	4.321723196722878	1.62437E-12
AHNAK2	4.141770565034253	1.62437E-12
TNFSF12-TNFSF13	4.107082506650852	1.62448E-12
TFPI2	3.7982860489537917	0
C1orf186	3.6246363615539785	1.62448E-12
PRAME	3.477630423673333	0
FHL1	3.405276454264174	0
SFN	3.387326937650088	9.9346E-09
TUBB3	3.365560478650942	0
ASPHD1	3.3530915774263215	0
ATHL1	3.334314138455113	0
ITGAX	3.3027918562876524	0
TMEM163	3.297768370835145	0
COL23A1	3.2923903500942546	1.62437E-12
SYCE1L	3.281844843016108	0
LCN2	3.2116259288836346	1.64024E-12
TPK1	3.2016063836832283	0
SERPINE2	3.141823102400205	0
VCAN	3.1253585743475463	1.11022E-16
SPON2	3.119467196369225	1.62437E-12
C19orf33	3.11790427545346	1.62448E-12
IGFBP6	3.0747565893519693	0
LILRB4	3.0488247957127514	0
SEZ6L2	3.0351557288461812	1.62448E-12
LRRN4	3.024473538779006	1.62437E-12
AKR1C2	2.991114208424281	1.62448E-12
DNM1	2.9695464708338952	0
NNMT	2.9427655473394796	0
CXCL6	2.9120892195208095	1.91003E-12
SPHK1	2.823338530677046	0
RGS1	2.8145476797751976	0
CREB5	2.8116978530650223	1.62437E-12
MSC	2.7888517018145893	4.4241E-09
TUBB4	2.771728715240248	1.62448E-12
GPNMB	2.7707851897618867	4.6437E-10
APBB1IP	2.6518217016331116	0
ODF3B	2.6460556220391918	1.62448E-12
SPON1	2.581300933235964	1.62437E-12
LIPC	2.5408606023999174	0
NEFL	2.5384616808868596	1.7217E-09
ANXA13	2.511646021999202	0
SULT1C4	2.45638585959475	1.62459E-12
CLIC6	2.4548823901108072	1.62448E-12
WBSCR27	2.4430902972922683	1.62437E-12
ALOX5	2.4416490427103277	0
ABCC3	2.4367798471049196	1.62448E-12
HHLA2	2.434405843458078	1.62459E-12
SLC34A2	2.4343345804594527	3.15958E-12
C3	2.431722982210707	2.0998E-08
SLC6A20	2.4290823283758245	1.62448E-12
SLPI	2.4213411546165435	9.1984E-08
LAMA3	2.4193859909058357	4.17444E-14
CCDC88B	2.4109623341151827	0
CRYAB	2.4015783989340487	1.62448E-12
IFI27	2.394377679270121	0
MMP11	2.393706086872652	1.62437E-12
FAM189A1	2.392231740911795	0
LY86	2.38253597618591	1.11022E-16
BCHE	2.346377291925951	1.62448E-12
STMN3	2.336945660830246	1.62448E-12
PLCD3	2.317054478188579	1.62459E-12
LRRK2	2.3131910637499455	1.62437E-12
ENO2	2.3115955516513242	0
BBC3	2.3028552211592563	1.62448E-12
C9orf71	2.3001611081945326	3.3835E-10
SOSTDC1	2.297035513715794	3.1398E-09
HAVCR1	2.281848810352657	1.62448E-12
CCND2	2.28093475042551	1.62448E-12
PXDN	2.278491937673896	0
BHLHE41	2.276771757633697	0
DDB2	2.274644414510637	0
SPAG4	2.271666041394326	0
PNMA2	2.2671068649706223	0
TYROBP	2.2612054621108215	1.62448E-12
CLDN3	2.2339894114613004	1.62459E-12
TMSB10	2.2315048369254695	0
MDK	2.2122783432835047	1.62437E-12
PPAP2C	2.2067291264770748	0
ZMYND10	2.204294640497813	0
C4orf48	2.2003809780339587	0
HAGHL	2.19629138949707	0
FCGR3A	2.179339338642446	1.62437E-12
KDELC1	2.174899396896715	0
CD68	2.1692965744294446	1.62448E-12
LYG1	2.167657319162612	0
FCER1G	2.1672278111405667	1.62437E-12
C1QB	2.163459977366814	0
CLDN1	2.1606858005584217	1.11022E-16
MET	2.1575424567623043	1.62459E-12
CXCL1	2.1474398833459727	1.6018E-11
NBL1	2.1423328142929847	0
CCL28	2.13126713898769	4.81289E-11
ANXA1	2.1249588783786035	1.62448E-12
AKR1C1	2.118901173911107	1.63047E-12
TYMP	2.113564385733788	1.62448E-12
SLC16A3	2.108107349063115	1.11022E-16
HLA-G	2.082503768439787	1.0883E-09
C15orf48	2.0812713313384883	1.69242E-12
C1orf38	2.0788980815742915	1.62437E-12
SCARB1	2.0730143799433485	0
CYP3A5	2.0579922677459215	1.1431E-10
LNP1	2.0536945498780397	1.62437E-12
AMACR	2.04902995041928	1.62448E-12
SEL1L3	2.029938192140038	0
IRX3	2.0227391051840495	1.62448E-12
HOXA3	2.003690656066117	0
IL32	1.9943243952851109	1.62437E-12
MASP1	1.9674196924730871	0
FDXR	1.9533710110417015	0
CCDC109B	1.9462906250377174	0
TIMP1	1.9441361766860157	0
RNASET2	1.9406335908331906	1.62437E-12
CD200	1.93915888797372	0
TNFRSF12A	1.9336091311859713	0
C1QC	1.9283660759459382	1.62603E-12
RPL22L1	1.9259670786657876	0
PLEKHH2	1.921394434151153	1.62448E-12
LRRC20	1.9210442910557353	0
ABI3BP	1.9184046531171273	0
LAPTM5	1.9075645772287608	0
PHLDA3	1.900506629640638	1.62448E-12
NPIPL3	1.8948526149076033	1.62426E-12
TYMS	1.8896497827623038	0
HSPB8	1.873942239592688	1.62448E-12
CLU	1.8728946749131912	1.62448E-12
PYCARD	1.8654231159623313	1.62448E-12
FKBP10	1.8485469229563778	1.31561E-13
NME1-NME2	1.8425905580505797	1.62448E-12
ABHD11	1.840413958823823	0
LYZ	1.8391038764560335	1.19E-09
RHBDF2	1.8365738163720142	0
CDH6	1.832951937154143	3.3874E-12
CITED4	1.832790895484517	0
DCBLD2	1.8302827164508768	2.63234E-13
NFKBIZ	1.8255296022780503	1.62448E-12
CEBPA	1.8212377238131672	1.62448E-12
LSP1	1.8180778574642054	2.53253E-12
NSUN5P2	1.8120379997817813	0
SPI1	1.810532992771212	1.11022E-16
BMP1	1.809475941660129	0
CCDC146	1.7999031817995659	1.0342E-09
PTGFRN	1.789940273748062	0
FZD1	1.7776821507249105	0
TPSAB1	1.7675031657743119	4.68E-07
ITGB8	1.7646009220721908	0
LST1	1.7643471526311687	1.62437E-12
TNFRSF10B	1.7643325812288366	0
CAPN12	1.7566067537513812	0
TPSB2	1.7534235706695125	4.2962E-07
SATB2	1.7531358996074775	0
ITGB2	1.74334731486185	1.9722E-12
PIGR	1.732563925995173	1.11022E-15
C1QA	1.7323837911810314	1.67688E-12
IKBIP	1.728561084491809	0
NME2P1	1.7273390870418535	1.62448E-12
HS3ST1	1.7260769476036426	1.62537E-12
ARL4C	1.7197984613915995	1.2927E-09
MAPK15	1.7145599669514433	0
PPP1R14C	1.7134031956192082	1.11022E-16
NOL3	1.703285284081968	0
APOC2	1.6976678469551314	1.66123E-12
ARPC1B	1.6912759373638824	1.62448E-12
TNFRSF10C	1.6869601926173967	0
RDH5	1.68660268676881	0
CACNB3	1.6842401178763178	1.62448E-12
ITGA3	1.667209624229938	0
HSPB2	1.6657074957461329	0
CTSC	1.6646309493010567	1.62448E-12
IRX5	1.663984964602333	1.62448E-12
CMTM3	1.6624479263509055	1.62448E-12
SNHG12	1.6601981354672055	0
TNFAIP2	1.6569880990803925	7.88258E-15
MICALL2	1.6566352470065435	1.62437E-12
TESC	1.6562314985500457	1.63791E-12
NRBP2	1.6488743295283474	1.62437E-12
AHSA2	1.6472290460447674	0
SCHIP1	1.6432550308642138	1.62448E-12
PYGL	1.6426569088148775	0
CFB	1.637981004358236	0
RMRP	1.6376362594770475	4.2742E-05
VCAM1	1.6295213747227761	2.2912E-11
CD37	1.6274799570928271	4.9746E-10
TTC39A	1.6252227697517951	1.62448E-12
SLC25A37	1.6226777967590333	0
SOX9	1.6199410422329006	1.16296E-12
CCDC74A	1.6155504484804535	1.62448E-12
PLA1A	1.6154659427279965	5.9624E-10
C7orf68	1.6098458571325869	0.00011983
ENTPD2	1.6073766070931543	0
THBS2	1.6053908353794781	2.2674E-11
CYBA	1.5990324308716048	0
TGFBI	1.5966798977566055	4.2507E-11
DBNDD1	1.5960054582814018	1.62448E-12
PRKCDBP	1.585861728274622	0
LGALS9	1.5850632617566194	0
KRT7	1.5839287236422535	1.62426E-12
LOC151534	1.5780417497307488	1.62437E-12
SCD	1.5750236190073625	1.73295E-12
APOL1	1.5723668496434124	1.63158E-12
CXCL16	1.5716594756856719	1.62448E-12
EGLN3	1.5672843361262687	2.3156E-06
PILRB	1.566158833438031	5.55112E-16
MMP14	1.5613831318645488	0
BAMBI	1.5603182062271423	1.62448E-12
HRCT1	1.5543677264308662	1.65457E-12
TMEM132A	1.553502054021596	1.62437E-12
SPATA18	1.5463606665615626	1.62448E-12
GOLGA8B	1.5453736412597554	8.87068E-14
SCN1B	1.5446532919238025	1.2509E-11
ISG20	1.5440637099746148	1.62437E-12
TBXAS1	1.5394737645236827	1.11022E-16
AHR	1.5382456363702948	1.62448E-12
ALOX5AP	1.5323854299847088	2.22045E-16
SNCG	1.5293401244519738	1.66503E-05
MS4A6A	1.5270110456353654	2.0734E-11
OAS1	1.524719119896261	0
LOC645166	1.521844350719555	0
PSMB9	1.5160732309562752	1.62448E-12
SEMA6A	1.5122261683272897	1.62437E-12
LFNG	1.5099229060364936	2.12719E-13
NME1	1.505687596491237	1.62448E-12
MLKL	1.505508513049702	1.62437E-12
CAV2	1.5054607890774132	1.62448E-12
KRT8	1.5044198146151277	1.62448E-12
PLK2	1.5011691615283431	1.6297E-12
GPX1	1.5002766349134191	0
TMEM54	1.499355201887754	0
APOBEC3C	1.4969820950462434	1.62459E-12
SULF2	1.493026934974697	1.62448E-12
CCDC57	1.4926322110528965	1.62448E-12
GPR126	1.491549354096278	1.11022E-15
NSUN5P1	1.4887284626742665	6.16285E-13
EMP3	1.4841824030814026	1.62448E-12
TMEM98	1.483365213636882	0
IGFBP3	1.482998373872303	4.081E-05
RBP4	1.4823829117693286	4.7576E-08
DAGLB	1.4806515781159277	1.62448E-12
RAB6B	1.4800279902077056	1.62459E-12
PKDCC	1.479319816662755	1.62459E-12
ZNF385B	1.4759107534196867	1.62437E-12
CTXN1	1.4742930199800564	1.62437E-12
RAP2B	1.471370349742697	1.62437E-12
FN1	1.4685696385769695	0.00091822
WDR90	1.4651819673298634	1.62448E-12
HMOX1	1.4529952414432221	2.088E-10
UMOD	-12.621946702754483	7.0743E-08
CALB1	-8.671655275332446	8.6715E-08
AQP2	-8.245015955487215	3.0741E-07
AFM	-8.218595846696523	2.799E-06
SOST	-8.045163985225793	8.7401E-09
MUC15	-7.920886621466444	6.6784E-08
PLG	-7.645482157385754	2.1239E-05
NPHS2	-7.429766954755349	2.5502E-09
ALB	-7.258523452472522	1.76132E-05
LOC284578	-7.201448958756191	4.2392E-10
ALDOB	-7.133615697122405	7.4313E-07
DDN	-7.115827446256367	9.0658E-09
SLC12A1	-7.07680769110367	4.8855E-08
CRYAA	-7.043432468190641	7.5123E-07
NELL1	-6.902862679190222	4.6048E-09
RALYL	-6.842526159140681	5.0225E-10
FLJ42875	-6.745866609382351	1.75271E-05
NPHS1	-6.519438186935555	8.0937E-08
CRHBP	-6.509032007563729	2.6858E-09
TMEM207	-6.447429808595441	2.1999E-06
DUSP9	-6.43648842478217	5.0327E-10
SLC4A1	-6.384886286073567	1.4914E-11
ESRRB	-6.282832048738108	1.176E-07
CLCNKA	-6.255572846042478	3.7187E-05
HRG	-6.2404055376660335	9.12148E-12
EGF	-6.226356849363496	2.694E-08
KNG1	-6.223518455178982	1.3596E-10
SLC22A8	-6.216097496256185	2.3277E-06
CYP4F2	-6.214894842126466	2.4193E-05
SLC36A2	-6.18849545658794	4.5578E-06
FABP1	-6.102871046966377	9.1272E-07
