Gene	log2FC	P-value
GPC3	6.561660021375739	1.62448E-12
LCN2	5.16868299463307	1.64535E-12
SPP1	5.100424214652381	1.89448E-12
UBE2C	5.048375303441518	1.62437E-12
PTTG1	4.709882780207357	0
SFN	4.599773616290356	1.62437E-12
MDK	4.369607986458865	1.62448E-12
UBE2T	4.219743660409993	0
CCNB1	4.152233631758216	0
AKR1B10	4.009033757872063	1.62437E-12
NDUFA4L2	3.7872410063485953	5.44009E-15
NT5DC2	3.5498454385651863	1.62437E-12
PLVAP	3.5384805850432004	0
G6PD	3.477814790168765	1.62448E-12
PDZK1IP1	3.467286599998955	1.62459E-12
CENPW	3.408221538530937	1.62437E-12
SPARCL1	3.3994390355239483	1.52223E-12
SPINK1	3.333474218580823	0
UBD	3.201157880218916	1.62448E-12
THY1	3.1931121509258307	1.62459E-12
PTP4A3	3.1546029105323323	1.62448E-12
TK1	3.1263217911652452	1.62437E-12
TACC3	3.005359687299363	1.11022E-16
FXYD2	2.9026411950568356	1.2655E-07
GMNN	2.8836069129782986	1.62437E-12
STMN1	2.8813865080552126	1.62437E-12
LYZ	2.863801126073883	2.4278E-11
CD34	2.7925796723859313	1.62437E-12
CD24	2.771716971898899	1.62426E-12
CKB	2.7586340400397944	3.33067E-16
GLUL	2.7095701460304635	1.62825E-12
UBE2S	2.6855970426161133	0
PAFAH1B3	2.6831650553170867	1.62448E-12
HIST2H4A	2.664716206994212	0
ACSL4	2.658415432160637	0
PKM2	2.6528651609852845	1.13243E-14
COL1A1	2.634926789580427	1.24345E-14
TYMS	2.6296483679851637	1.62448E-12
RNASEH2A	2.621420357463725	1.62448E-12
NCRNA00152	2.612072367419879	1.62448E-12
COL4A1	2.5689021324716514	1.62448E-12
CYP7A1	2.527563102155166	1.62448E-12
BCAT2	2.523554168995425	1.62448E-12
TPM2	2.5177415157607843	1.62437E-12
TP53I3	2.513736528050424	1.62459E-12
CLDN15	2.5102013512200223	1.62448E-12
HMGA1	2.496910371425288	1.62448E-12
RFC4	2.4936043381020787	1.62448E-12
CGREF1	2.4918974991066887	1.62448E-12
RBP7	2.491654007605384	1.62448E-12
GAS5	2.487532149815713	1.62459E-12
MSTO1	2.459330285687436	0
TSPAN8	2.4351221781563863	0
FEN1	2.419126128117793	0
HKDC1	2.4165565460434024	0
COL4A2	2.4105222497111476	1.62448E-12
NUDT1	2.407473713804436	1.62448E-12
FAM189B	2.3959059424665328	1.62437E-12
NSUN5P2	2.3949817312181714	0
PSPH	2.3903517780679295	1.62437E-12
LOC541471	2.3842940211283836	0
TOMM40L	2.371500187638758	0
LAPTM4B	2.3675430006067986	0
COL1A2	2.3653344345468197	1.63525E-12
SNHG1	2.347437297017547	1.62437E-12
SELM	2.3350189219125457	1.62448E-12
MCM3	2.3291690859740815	1.62448E-12
KIAA1522	2.3206551985373136	1.62437E-12
ATHL1	2.316956451609628	0
SQLE	2.309126141743546	1.62437E-12
