Gene	log2FC	P-value
SPINK1	7.020557631504806	6.66134E-16
FAM83A	6.909130835921268	0
LOC84740	6.537589106969948	1.62448E-12
CST1	6.518143408105828	1.4848E-08
XAGE1D	6.268866488528848	1.62459E-12
CRABP2	5.765016687385054	0
MMP11	5.405623441248585	0
MMP1	5.319807227820052	1.8317E-09
GREM1	5.112575979329498	1.62448E-12
S100P	5.095546886494841	0
TMPRSS4	5.0335062076207	0
SPP1	5.021448194318415	0
CEACAM5	4.969450761215402	0
COL10A1	4.740826367952477	0
GJB2	4.723253944829854	1.62459E-12
AKR1C2	4.515945176489074	0
B3GNT3	4.48280832837938	0
DNAJC12	4.451822857605741	0
UBE2C	4.406975333682825	0
TROAP	4.394544084152483	0
CXCL14	4.392717375145084	1.11022E-16
TUBB3	4.374243071286345	0
TOP2A	4.190232988501663	1.62448E-12
MYBL2	4.143705037207728	0
ANLN	4.132759775331059	1.62437E-12
CDC20	4.119521994430911	1.62448E-12
TFPI2	4.057504304217157	3.6142E-07
ETV4	4.052689721106052	0
TPX2	3.9686943673549466	0
CTHRC1	3.9144612829155085	1.62437E-12
PYCR1	3.878590703602767	1.62459E-12
AURKB	3.8366245346827985	0
HS6ST2	3.8053760716995555	1.62448E-12
PSAT1	3.7536603604813563	1.62448E-12
TESC	3.7414390577121264	0
CP	3.730068370276503	1.62437E-12
FOXM1	3.715030205077756	1.62448E-12
SYT7	3.705433916373095	0
ALG1L	3.697254221252952	0
UCHL1	3.6862705270130776	1.11022E-16
SLC2A1	3.650163153867863	1.62448E-12
UBE2T	3.6301910969816165	0
PLK1	3.6292054095546273	1.62448E-12
EPR1	3.622312669116827	1.62437E-12
RHOV	3.615826633612514	1.62459E-12
HMGB3	3.599871677494588	1.62437E-12
S100A2	3.5933494010539855	2.9365E-09
CBLC	3.5184446152112336	1.62437E-12
SPAG5	3.508108181441197	0
H19	3.5042565534962873	2.2737E-06
GPT2	3.494850743266419	0
CEP55	3.4850955180112	1.62437E-12
CCNB2	3.4644603405861	1.62448E-12
RRM2	3.4381542210902896	1.62448E-12
KCNN4	3.4295628680303976	1.62448E-12
PODXL2	3.415167416232647	0
SPDEF	3.397827050835976	1.62448E-12
AKR1C1	3.3704276906528845	0
CDCA8	3.3309163218256392	1.62437E-12
TMEM184A	3.2739549383801174	0
SPAG4	3.2658611978339875	1.62448E-12
CDKN3	3.2576478764097443	0
C15orf48	3.2371479520788102	0
CDCA5	3.225729566640342	0
MDK	3.219448635131401	1.62448E-12
P2RY6	3.1866392389138345	1.62448E-12
KIAA0101	3.1629930914605335	1.62437E-12
EGLN3	3.162977457130333	1.62448E-12
COMP	3.1526640050665393	0
GINS2	3.15027863804193	0
TFF3	3.1290482510812723	0
PTGES	3.114945761754166	1.62448E-12
CCNB1	3.1064054321451042	0
NQO1	3.102167888659372	0
COL1A1	3.080195068150049	0
HES6	3.0726339957148996	7.88258E-15
