Gene	log2FC	P-value
CALML3	9.318867361050396	0
S100A7	9.057007457696532	9.6531E-07
KRT14	8.846954865990153	1.11022E-16
PRAME	8.78415924343666	0
GJB6	8.755473139844254	0
RHCG	8.60671895429516	1.11022E-16
DSG3	8.469922253560277	0
KRT6A	8.445678988841863	0
AKR1B10	8.27829555371251	0
KRT6C	8.254943286784384	0
KRT6B	8.241299972528342	0
LGALS7	8.232348725378262	0
KRT16	8.179564189953506	0
FOXE1	7.992901205049971	0
SPRR1B	7.986675538005883	0
LGALS7B	7.976194778286576	0
SPRR3	7.9621835440154785	0
SPRR2A	7.920134147709476	0
LY6D	7.805440911137326	0
KRT13	7.778326217756471	1.11022E-16
SPRR1A	7.736397261917452	0
SERPINB13	7.667116262324143	0
DAPL1	7.498806497340625	0
KRT5	7.444154097105254	0
SPRR2D	7.435552965582456	0
CST1	7.208684599174445	9.7195E-05
SERPINB5	7.203404745421505	1.62448E-12
GRHL3	7.071562119592595	0
GPX2	7.058781765480354	0
MMP10	7.048629454804935	2.22045E-16
S100A2	6.945177969714907	0
PNCK	6.890451261288036	1.62448E-12
PTHLH	6.868807608685554	0
KRT17	6.790740487684084	0
PITX1	6.7801116715177185	1.62448E-12
PPP2R2C	6.7337231488287745	0
CAPNS2	6.707523617549866	0
GPR87	6.700698697496534	1.62437E-12
FAM83B	6.617678051882964	1.62459E-12
DLX5	6.56957652144394	2.44249E-15
NTS	6.481918569870087	1.62426E-12
KRT15	6.458655948453843	1.62448E-12
COL7A1	6.457624408424813	1.62437E-12
FAM83A	6.4555121877633095	0
COL17A1	6.4518216230169925	0
NXPH4	6.419874434648952	1.62448E-12
GJB2	6.359579715122905	0
FAT2	6.333964225184422	0
LOC642587	6.280094360580252	0
PKP1	6.26979531757054	0
CA9	6.238374553625157	0
UGT1A6	6.230647877402506	1.62437E-12
PI3	6.192403834485166	0
DSC3	6.1681342539695185	0
CLCA2	6.069617655406051	0
LYPD3	5.973725569907057	0
TP63	5.9070591266890595	1.62437E-12
MMP11	5.870108799531196	1.62448E-12
SLC2A1	5.794536849062645	1.62448E-12
WDR72	5.7881679913821555	1.62437E-12
GJB5	5.775847100459838	1.62437E-12
ADH7	5.773207306385903	1.62437E-12
MMP12	5.749531199927846	1.62448E-12
MMP1	5.726446964952792	1.62437E-12
TMPRSS4	5.719206319942963	1.62448E-12
FAM83F	5.659216682927399	0
ARTN	5.605938746321336	1.62437E-12
GBP6	5.5933844461517195	1.62448E-12
TFAP2A	5.571576231874198	0
AKR1C2	5.546416273363096	0
TNS4	5.476921923334452	0
SOX2	5.238943174156309	1.62448E-12
GJB3	5.221958415935965	1.62437E-12
TROAP	5.212309511290185	1.62437E-12
ADAM23	5.106558544909525	1.62448E-12
