Gene	log2FC	P-value
PCA3	3.4021547202526263	1.62437E-12
AMACR	3.233374956214393	0
DLX1	3.150252166012391	0
LOC100130872	2.913701290845518	1.62448E-12
ACSM1	2.8027371820844307	1.62437E-12
TFF3	2.5079641717000936	2.44249E-15
HPN	2.3875968400804615	0
OR51E2	2.3452875994087448	1.62459E-12
FABP5	2.3010151049783043	8.6945E-10
SIM2	2.209329659753454	1.62426E-12
C2orf72	2.1517223859946286	0
COMP	2.0625535192151854	1.47715E-12
LOC145837	2.0570057468836795	1.62437E-12
SPON2	2.0167883116473657	0
SFTPA2	1.9793796750195385	7.0517E-10
COL9A2	1.9771166693349496	1.9571E-10
APOC1	1.9701236223903524	0
TARP	1.9230954651875256	1.62448E-12
ISG15	1.9084854348961928	3.8351E-10
CGREF1	1.8835013127888316	0
SDK1	1.8792707426518969	0
C15orf48	1.8704866718280186	1.95377E-12
PRR16	1.8426525652560721	0
VSTM2L	1.809384528481261	1.62459E-12
FEV	1.7969703701669884	0
TMEM178	1.78681251452243	4.0617E-10
HLA-DMB	1.7709632930761574	2.08833E-13
TRPM4	1.7570696975521367	1.62448E-12
GLYATL1	1.7535736467874286	1.62459E-12
GDF15	1.7503619835336184	1.62448E-12
FOLH1	1.7378039917329204	1.68798E-12
PLA2G2A	1.7352552925884592	9.7592E-10
HIST3H2A	1.7302529770148602	0
PLA2G7	1.725053945493387	1.62448E-12
GOLM1	1.7157067176531098	1.62448E-12
PCSK6	1.6892853356487085	1.62437E-12
SGEF	1.6871562225033234	1.62448E-12
NUDT8	1.6749229585287304	0
LOC728606	1.6732622519991376	1.62437E-12
ABCC4	1.6664745899203495	0
PDLIM5	1.6621510600219669	1.62448E-12
GCNT1	1.6584308635908809	0
TMEM132A	1.6491786267261825	0
THBS4	1.61338250920229	2.3926E-11
B3GAT1	1.6119736744514521	0
TBX1	1.5914589989932717	0
SMPDL3B	1.5823084143378434	1.62448E-12
PKIB	1.5717650380851178	1.6247E-12
EEF1A2	1.565498525771098	2.9648E-11
CAMKK2	1.564660307246973	1.62448E-12
DNASE2B	1.5205020520599501	1.11022E-16
SFRP4	1.5145104534013438	2.80886E-14
MIPEP	1.5066439876036475	1.62448E-12
FGFRL1	1.4878472794614035	1.62448E-12
STX19	1.477466901494148	5.55112E-16
HES4	1.4716675546770257	0
PRR4	1.4626662389629062	0.00053563
TUBB3	1.4589919105204674	1.62648E-12
MON1B	1.4572309143956372	1.62426E-12
APOE	1.452229135005008	7.77156E-15
IFI6	1.4276271265684854	1.4275E-09
SLC43A1	1.4115637529594187	3.19078E-13
TRIM36	1.3969292043338406	1.62459E-12
SYCE1L	1.3910480793707123	1.11022E-16
PCOTH	1.3853681696625628	1.389E-11
C4A	1.3821901583015543	1.5972E-11
TMEM45B	1.3797981271024968	1.65845E-12
HSF4	1.3759704735927765	0
TRIB1	1.3586093526451124	1.62448E-12
CENPN	1.3530806743932304	1.62448E-12
PYCR1	1.347286136208871	1.62437E-12
TMSB15A	1.3444776778152185	2.07112E-12
GJB1	1.342204138792095	0
RAB17	1.340477773899381	0
NSUN5P1	1.3398169052996307	0
PODXL2	1.336062156330026	0
FASN	1.3355552225012586	1.62448E-12
SLC19A1	1.3350968155933765	1.62459E-12
DBNDD1	1.331007376019965	0
LRRC26	1.3245524865082552	1.62448E-12
HIST1H2BG	1.3162813457777258	1.63647E-12
MARCKSL1	1.3066605080088605	1.62459E-12
MS4A8B	1.28523885865512	8.1121E-05
SMS	1.282192948107671	0
PTP4A3	1.275510687284513	8.8105E-09
CYP2J2	1.2728879829068973	1.62448E-12
C19orf48	1.2666476509666926	1.62448E-12
RAP1GAP	1.2557345051292013	1.62448E-12
CXCL14	1.2520270988202893	2.6331E-06
SERHL	1.2512393916615863	2.2009E-10
MGC29506	1.2500072485920912	1.69764E-12
GMDS	1.248245020237122	1.62437E-12
SLC26A6	1.2452202424164505	0
TLCD1	1.2384142739982171	1.62448E-12
OR51E1	1.2252881639750552	3.7153E-05
TMEM184A	1.220444382683084	0
NSUN5P2	1.2178193559305726	0
PEX10	1.216352710958689	1.62881E-12
RPL22L1	1.20543621985622	1.62459E-12
SH3RF1	1.2049883885438888	0
MCCC2	1.1982235138689268	0
PPP1R14B	1.19459416234768	0
HPGD	1.1928362104716175	4.4944E-06
TUBB2A	1.1848017840910643	1.62437E-12
PRAC	1.1832670073921572	5.32907E-15
NUP210	1.1817188344995389	1.62448E-12
MAPK8IP2	1.1791943066804036	1.11022E-16
RAC3	1.1699950666300623	1.62437E-12
MESP1	1.1594790059794546	1.62448E-12
TMC5	1.1558737400460735	0
LOC338799	1.1557386617251493	0
EFCAB4A	1.1544158364807011	1.62448E-12
HIST1H4H	1.1507891923985087	1.63358E-12
HIST1H2BC	1.1503892348337919	1.63014E-12
ADM2	1.14389985682241	1.62448E-12
KIFC2	1.1437925739727302	1.62459E-12
HIST1H4J	1.140439129080437	1.62437E-12
CBS	1.1366604117165364	0
NEAT1	1.1329989539490266	1.62614E-12
TK1	1.125297488949084	2.0831E-11
MSL3L2	1.1157464040827436	1.62437E-12
PABPC1L2B	1.114735053158718	1.39999E-13
REPS2	1.1075039551465464	0
TRPM8	1.1061124366706028	1.751E-11
ZNHIT2	1.1026884971715445	1.15463E-13
EPCAM	1.0973341380463912	0
