Gene	log2FC	P-value
REG1A	9.167854331798326	9.7941E-07
KRT23	8.37810082672112	3.7812E-09
CST1	8.120506899717146	8.8526E-08
DPEP1	7.978281571490845	1.62448E-12
FABP6	7.6647419333194	1.62437E-12
MMP7	7.297451559788631	1.74738E-12
FOXQ1	7.077812685811591	1.62437E-12
CEL	6.975015580277031	1.0654E-09
CLDN2	6.569404167176535	1.63058E-12
KRT80	6.538160535343263	1.62448E-12
CELP	6.534825726383331	1.72451E-12
CPNE7	6.3504710670588285	1.62459E-12
CA9	6.206304883889801	9.5448E-09
GRIN2D	6.094697672130103	1.62437E-12
MMP3	5.4357072321221835	5.47784E-12
KIAA1199	5.385040416741638	0
LY6G6D	5.314166630136589	0
RPL13AP20	5.260061907360248	1.62437E-12
ETV4	5.250112113722866	0
MMP1	5.155331098104586	6.5012E-09
TNFRSF6B	5.1388939852836195	2.55584E-12
IGF2	5.133160728932183	0.00037635
CDH3	5.115113557645001	1.62448E-12
UCA1	5.0756875760807265	8.94E-07
MMP11	4.915909996382679	4.95537E-12
RPL36A	4.911559131594799	1.62448E-12
CLDN1	4.891221030643099	1.62448E-12
GYLTL1B	4.741967255418208	0
NKD2	4.60564493662154	0
SULT2B1	4.59693482284813	1.62448E-12
TESC	4.592167117034265	0
NKD1	4.5163530354157935	0
ASCL2	4.474312968262994	0
H19	4.2524877745723	3.5485E-06
PABPC1L	4.019000983988459	0
C6orf223	3.956120018983563	1.62437E-12
HOXB8	3.8907298348969555	1.62437E-12
MYEOV	3.8403280724426945	4.44089E-16
TRIB3	3.7680211252955953	1.62448E-12
CYP2B6	3.7359333322802906	1.62437E-12
AZGP1	3.684938825137899	0
SLCO4A1	3.643782522731016	1.62448E-12
VSNL1	3.581814528577842	0
CTHRC1	3.580250490948068	0
ATHL1	3.5663748542208493	2.6886E-09
MDFI	3.525173326508967	0
NSUN5P1	3.517870278543745	0
ZNF90	3.5097971918165496	0
MLXIPL	3.4822976298233512	1.62448E-12
SPP1	3.466611419310172	1.0298E-06
CYP2W1	3.4646107697558906	1.1256E-07
PABPC3	3.4542157602487396	1.62437E-12
TGFBI	3.4178533167203926	1.62448E-12
TNS4	3.405083157672358	1.11022E-16
CGREF1	3.331034587191758	1.62448E-12
GDPD5	3.326723715849417	0
SLC6A6	3.296631910348723	0
SPTBN2	3.279262833586253	1.62437E-12
SRPX2	3.2448576362147374	1.11022E-16
CHI3L1	3.2376356886807205	1.66467E-12
NPIPL3	3.235429145635736	1.6247E-12
C4orf48	3.196320596947395	1.59872E-14
MSLN	3.1934361729242924	3.08087E-13
DUOXA2	3.178390169740669	5.9022E-11
TRPM2	3.134997725236414	0
LGR5	3.0903620862700985	1.62437E-12
UBD	3.079971669999602	9.76996E-15
TDGF1	3.0792956161318763	0
COL9A3	3.0712551642280888	1.00919E-12
FGGY	3.053403686889702	7.8788E-09
TRIM29	3.0390695416615494	1.64191E-12
BOP1	3.032166687818135	0
IFITM1	3.030820792089251	0
GZMB	3.028855751341703	1.55431E-15
BMP7	2.980754711383501	0
PPIAL4C	2.9355037529160715	1.62448E-12
AGT	2.884709042518151	0
GNG4	2.857676048806809	0
SLC7A5	2.8527655668212195	1.62448E-12
RPL39	2.8015640488053757	8.88178E-16
NFE2L3	2.7994828431809187	1.62448E-12
PSAT1	2.783463958338997	1.62437E-12
COL1A1	2.7646753271360605	3.2041E-13
CXCL1	2.7395515692393095	1.63092E-12
GRB7	2.7326680789520323	5.507E-05
AXIN2	2.6809587114883566	1.62437E-12
PCSK9	2.665029208612003	2.5381E-10
PLEKHG4	2.66097307091857	1.62448E-12
NSUN5P2	2.6284870027171405	0
RNF43	2.62347940197368	1.62448E-12
RECQL4	2.6091422390400423	0
PRSS22	2.6016971888670066	2.858E-06
BGN	2.598485625311841	1.62492E-12
ATP5EP2	2.595245366803477	1.62437E-12
C2	2.5843406808276987	1.62448E-12
TMEM132A	2.567097791067066	0
IER5L	2.552291543502295	0
RPL7	2.5482606727442705	0
ATP11A	2.5377800253793987	1.62448E-12
PTP4A3	2.5324346806895135	1.62448E-12
CDC25B	2.5165377561346483	0
RPS28	2.515813505435475	5.8956E-08
LCN2	2.5145402435167274	4.0664E-07
DBNDD1	2.503160928068276	1.62448E-12
TEAD4	2.487691626543497	1.62448E-12
FGFRL1	2.482771934349354	0
MFAP2	2.469600826765004	1.62448E-12
MFSD2B	2.4663439622772185	1.62448E-12
CXCL3	2.465773362823088	2.5125E-11
LOC541471	2.4541547628140217	1.4877E-14
ORC6L	2.4438338649466544	0
ProSAPiP1	2.4423936018066743	1.62437E-12
LOC388796	2.4348350228989792	0
C10orf81	2.427424365393916	5.5906E-05
HSPA1B	2.422941597409318	0
GTF2IRD1	2.387987234254308	0
APCDD1	2.3819268609218716	9.302E-10
C7orf68	2.3719769073276744	0
JAG2	2.363148141871285	0
RTEL1	2.3434078333845343	1.62448E-12
UBE2S	2.336101554549913	1.62448E-12
UHRF1	2.3143173059851327	0
F8A1	2.3044989590423666	1.11022E-16
OLFM4	2.304461760958842	5.9726E-05
WASH5P	2.304000939668852	0
PTK7	2.288620974153359	1.62448E-12
HIST3H2A	2.285097649625027	2.6101E-10
HKDC1	2.26388261050524	9.947E-10
LOC150776	2.2616122871520594	1.62448E-12
SMOX	2.254366478036738	0
SLC38A5	2.246256782713019	0
RPL23P8	2.24583793979467	1.62437E-12
SCD	2.229945382897891	2.86171E-12
GDF15	2.219134058345707	1.63192E-12
SLC17A9	2.2157434272884844	1.64058E-12
GALNT6	2.214344352218584	1.62448E-12
EVPL	2.1941006239790646	1.62459E-12
C8orf30A	2.1884176955981913	1.62448E-12
WDR90	2.188132903753545	0
SNTB1	2.1867288806124843	0
SKA3	2.178276959738032	1.62448E-12
PPM1H	2.1766227597776955	0
CXCL10	2.1658443128089884	1.8793E-09
MSH5	2.1628150036685483	1.62448E-12
CXCL2	2.1608646168980545	1.0463E-08
MTHFD1L	2.146166991203136	5.07383E-12
MYBL2	2.141414848033882	1.62448E-12
PDPN	2.1310148151076564	1.62503E-12
TUBB3	2.1300325837116847	1.62681E-12
FXYD5	2.1244488683040483	0
TCF7	2.1170376592322477	7.9714E-14
DGAT2	2.110414442422613	0
