Gene	log2FC	P-value
CST1	8.66294648856528	2.43139E-14
COL10A1	7.893999204804636	0
MMP11	4.89746322680942	1.62448E-12
HOXA10	4.558277990070575	1.62437E-12
SPP1	4.444361455552771	1.92735E-13
CTHRC1	4.06430372381161	1.62437E-12
MMP7	3.957720290547418	1.62437E-12
INHBA	3.8727690681467886	1.62437E-12
IL8	3.748487955891246	1.62437E-12
MSLN	3.7471628352332416	1.6247E-12
CXCL9	3.723331067333232	0
COL1A1	3.7043027178240764	1.62437E-12
GRIN2D	3.558195711833232	0
FAP	3.5158343309259825	1.62448E-12
SFRP4	3.5074150124344525	0
CXCL10	3.4406296465686954	3.70814E-14
CLDN2	3.4311612060310277	1.62448E-12
TREM2	3.424619841493681	1.62437E-12
ETV4	3.415505976743827	1.62448E-12
APOC1	3.3925781752727664	1.62448E-12
CDC6	3.3704685943099504	8.7281E-09
SDS	3.3460177558279627	0
GDF15	3.336740454089923	1.62437E-12
UBD	3.277174825552841	0
IGF2	3.2686473580332205	0.000142992
TOP2A	3.2301645500565916	1.62448E-12
PABPC1L	3.156731659309299	1.62448E-12
CHI3L1	3.105276256512825	1.62448E-12
KRT7	3.0837499538988116	1.62437E-12
BGN	3.063566120783874	0
H19	3.061565008032046	6.3902E-07
TNFRSF6B	3.037671158206927	1.62448E-12
CXCL1	3.0365445226658796	0
LAMC2	3.02130795385755	0
ECT2	3.0139369562926195	1.62448E-12
THBS2	2.9888422050218018	1.62448E-12
NFE2L3	2.9861528660023264	0
SULF1	2.9663745440697022	0
CENPF	2.9526346792671303	0
MET	2.9330063101045463	4.9231E-10
KIF18B	2.9041545581616344	0
TPX2	2.8653922737142823	0
KIF23	2.858217022219195	0
MEST	2.838532183130094	1.62459E-12
MFAP2	2.8314511279326036	1.62448E-12
TRIP13	2.808119739461482	1.62448E-12
RECQL4	2.7934710812322443	1.62448E-12
GRB7	2.7787441496437486	2.3156E-10
IQGAP3	2.762313344046763	0
EPHB2	2.7615021551932477	0
NUF2	2.7607616245222766	0
PPP1R1B	2.751604706330579	1.0178E-06
BUB1	2.7475986783106987	0
MMP1	2.7475130699974772	9.1947E-09
UBE2C	2.7453999586962037	0
MMP12	2.7305302436718017	0
COL3A1	2.7097540242101705	1.62448E-12
SKA3	2.6997785688592884	0
C4A	2.691950968310363	1.62448E-12
ADAMTS2	2.686918283278975	1.62448E-12
NEK2	2.670878951698361	0
FCGR3A	2.6685377317354764	1.62459E-12
ANLN	2.6470552635477884	0
