Gene	log2FC	P-value
ARHGAP36	8.871207552263046	5.38458E-14
TMPRSS6	7.198925726779115	1.62448E-12
GABRB2	7.0389498406941735	1.11022E-16
ZCCHC12	6.737745243988413	1.62448E-12
SYT12	6.536525203097494	0
TMPRSS4	6.391115949936781	0
KLK10	6.100764043055565	0
KLK7	5.982017603482437	0
LIPH	5.845753299450836	0
PRR15	5.716171459719788	1.62437E-12
B3GNT3	5.715713309268529	1.11022E-16
TM7SF4	5.699456073853789	1.62459E-12
STRA6	5.586785174485933	1.62459E-12
FN1	5.5062065923646735	0
RXRG	5.3965600643059	1.62448E-12
HMGA2	5.373577843612086	0
SLC34A2	5.270348264535284	1.62448E-12
NGEF	5.183666718999763	1.62448E-12
KLHDC8A	5.046338965019004	1.62448E-12
CITED1	4.9751152273207015	1.62459E-12
PCSK1N	4.880871588111936	1.62448E-12
CLDN16	4.8795533201495696	0
SFTPB	4.766380372334547	1.11022E-16
LCN2	4.761642785493125	0
CHI3L1	4.714637536151087	0
GJB3	4.700245382354076	1.62459E-12
ECM1	4.699283503078352	2.88658E-15
PVRL4	4.595273183257271	0
SERPINA1	4.541300326702551	0
LRP4	4.534784386034127	0
DPP4	4.499906709823995	1.62459E-12
LAMB3	4.379728525321516	1.62448E-12
IGSF1	4.364850686626809	1.62437E-12
CRLF1	4.2398344855064245	1.62448E-12
SCEL	4.13652511039188	1.62448E-12
PDZK1IP1	4.122152497039659	0
METTL7B	4.101135616705211	1.62448E-12
GDF15	4.057483613217543	1.62437E-12
TACSTD2	3.974311861213256	1.62437E-12
LRRK2	3.952135025569242	0
GOLT1A	3.943449896975687	0
CDH3	3.885462625363277	0
CXCL17	3.844774657158516	1.62437E-12
SFN	3.842987181298878	0
SEZ6L2	3.767516327823579	1.62448E-12
CXCL14	3.7445088314484587	3.48499E-12
RDH5	3.737088738801792	0
AGR2	3.6031230463625463	1.62448E-12
KCNN4	3.5482319965696427	0
ETV4	3.5029894415551435	0
CST6	3.4852284468277857	0
SLPI	3.476595684421851	1.62459E-12
THRSP	3.4387741097315754	1.62459E-12
PDLIM4	3.402377966534011	0
SLC27A6	3.401748393347512	0
CAMK2N1	3.3365546890099753	1.62448E-12
PROS1	3.316419618612399	0
QPCT	3.2852040729172836	1.62448E-12
LPAR5	3.251101303449909	0
PLCD3	3.2494132743670123	1.62448E-12
CTXN1	3.1683250017033897	1.62437E-12
PLAU	3.1321198775063674	1.62448E-12
GALE	3.0465913233168234	1.62448E-12
ALOX15B	3.0333919693840214	1.62448E-12
CLDN1	3.018907766596533	1.62448E-12
PCSK2	2.9913392280775337	0
TESC	2.9882491330595022	1.62448E-12
DTX4	2.9684444298580477	0
MRC2	2.965055646525484	1.62448E-12
TUSC3	2.9560318443514064	1.62448E-12
RASD2	2.95219375610858	1.62448E-12
CYP1B1	2.9176546403802988	1.62448E-12
TIMP1	2.904444461827595	1.62448E-12
ALOX5	2.8638348645703107	0
CDH2	2.8343055598511713	0
POSTN	2.778567396485571	1.62437E-12
ENTPD1	2.769521696628028	0
FAM84A	2.650059293449934	1.62448E-12
ALDH1A3	2.6326403539660843	1.62459E-12
NELL2	2.6115698061996775	0
STK32A	2.6000885713727735	0
ADAMTS9	2.5802056240115694	1.62448E-12
NFE2L3	2.56709685161198	0
ABCC3	2.5571719163976048	0
FAM176A	2.5561746891698363	1.62448E-12
MDK	2.5122251471866175	1.62437E-12
C8orf4	2.5096974257304803	0
KRT19	2.481414767172707	1.62448E-12
FAM20A	2.480233162902754	0
ADORA1	2.4782607947307063	1.62448E-12
GABBR2	2.4767541669299704	0
SPOCK2	2.4678495670660014	0
NOD1	2.4631333327591802	0
LGALS3	2.462261608292956	0
ALDH3B1	2.456615508267644	0
B3GNT7	2.4432713691759207	0
TUBB3	2.441304898898697	1.62448E-12
SPOCK1	2.4408859021452383	0
TGFA	2.4278860973781837	1.62437E-12
COL1A1	2.424268146900952	3.3307E-11
PHYHIP	2.401347473747967	1.62448E-12
LAD1	2.3987767299004386	0
UBE2QL1	2.3868438061670907	0
MET	2.3843296901204427	0
SHROOM4	2.3842380891507466	0
IGFBP6	2.384091640475519	1.62448E-12
NPC2	2.373553978905573	0
FNDC4	2.368180527906493	0
PDE5A	2.3595994662752244	1.11022E-16
C19orf33	2.3582254697273366	0
IL1RAP	2.3489690754439363	0
AMIGO2	2.3342095726278345	1.11022E-16
NRCAM	2.3164427136762313	1.62448E-12
G0S2	2.3155806366206213	1.11022E-16
CD55	2.30910539121703	0
PRSS23	2.303488171222155	1.62448E-12
CTSH	2.2994997738924043	1.62448E-12
RUNX1	2.292659546899221	1.62437E-12
TNFRSF10C	2.286815014669038	0
APOE	2.2626830196144314	1.11022E-16
SCN1B	2.258895303842255	0
MXRA8	2.2543139183506242	1.62459E-12
SCG5	2.2473016799711782	0
MUC1	2.2463429352482667	1.62448E-12
MPZL2	2.2156546312098784	1.62448E-12
SDC4	2.214620501402936	1.62448E-12
MFAP2	2.198462369365668	0
C4orf48	2.1833286986516813	0
DUSP6	2.1645638562379963	0
DUSP5	2.161858869454272	0
PTPRE	2.146793017676758	1.62437E-12
IER5L	2.1422877150023756	0
HES6	2.134213569509078	0
FLJ23867	2.1302426933481686	1.62448E-12
GRB7	2.1268018887472366	1.62448E-12
FRMD3	2.105857256262462	0
MFGE8	2.103189001549819	0
CHST2	2.0973861724215883	1.62448E-12
UNC5B	2.0960027665048	1.62448E-12
GALNT7	2.087896922594451	1.62437E-12
TMC6	2.063926613085234	1.62448E-12
S100A5	2.063153399843595	1.62448E-12
UPP1	2.0515487582231557	1.62437E-12
CFI	2.0403245060142567	1.62448E-12
BID	2.02814508887817	1.62459E-12
CRABP2	2.0186950127872683	1.62437E-12
FOXQ1	2.01769295086976	1.62448E-12
