Gene	log2FC	P-value
PI3	5.494466752518168	3.0989E-07
TFAP2A	5.287768607088994	1.62448E-12
MYBL2	4.655756920577022	0
CDKN2A	4.508626027094781	0
SFN	4.389272501554016	1.62437E-12
CTSL2	4.284416378607923	1.11022E-16
HOXB9	4.26904988775652	1.62437E-12
TFF3	4.22491444170284	1.85119E-12
TMPRSS4	4.180762253303925	0
S100A9	4.092802249536506	9.6411E-11
SULT2B1	4.087263531893371	1.62459E-12
S100A2	4.076914677516404	0
PRAME	4.0735204625508485	0
CDC20	3.9949976669108467	0
TROAP	3.9502167921657843	0
CCNE1	3.949894485317194	1.62448E-12
UHRF1	3.949093187808869	1.62448E-12
EPR1	3.861536719433338	0
PKMYT1	3.846094606676135	0
MELK	3.8150910436421324	0
MMP9	3.804100839300054	1.012E-09
CDC45	3.803823529512022	1.62448E-12
UBE2C	3.7666633992728986	0
BUB1	3.76029810676101	1.62448E-12
PLK1	3.72455109231592	0
FOXM1	3.7107852543675093	0
S100A8	3.6799136288255965	2.3436E-07
AURKB	3.662249861274291	1.62437E-12
TMPRSS13	3.660136673765152	0
BIRC5	3.6501142085066567	1.62437E-12
CCNB2	3.6405245446439536	1.62448E-12
TPX2	3.6333478966709145	1.62437E-12
AQP5	3.5926497373591086	0
NEK2	3.5509200362682005	0
ASF1B	3.500040134407383	0
KIF2C	3.4933397333062675	1.62448E-12
RRM2	3.492872520134725	0
HIST1H4K	3.478867843140997	0
PBK	3.4575744727201303	0
HJURP	3.4366256010860146	1.62448E-12
CDCA8	3.435816356192961	1.62448E-12
KIFC1	3.4268721450358757	0
CEP55	3.423304491456431	0
CDCA5	3.3369436268485173	1.62448E-12
MKI67	3.295883399387008	0
CDCA3	3.289276142598679	1.62448E-12
TK1	3.281689378498408	0
SDC1	3.2765739335135744	0
PTTG1	3.2693068063329656	1.62448E-12
C9orf140	3.2629686652313947	1.62448E-12
CENPF	3.2570060026308765	0
KIAA0101	3.251085499654645	0
TOP2A	3.2489787796919556	1.62448E-12
TUBB2B	3.2301616266118574	1.62459E-12
AURKA	3.1888282201599876	1.62459E-12
CDC6	3.1869865497518295	1.62437E-12
PIGR	3.171966053118414	1.62448E-12
GTSE1	3.1695938315811207	0
KIF20A	3.16328182432898	0
CDT1	3.1422670232028405	0
TNNC1	3.140438150368878	1.62448E-12
SPAG5	3.130188819870055	1.62459E-12
HGD	3.1300837069483634	1.62437E-12
ZWINT	3.0882616139591903	1.62437E-12
POC1A	3.0610003132006205	0
C16orf59	3.053124794308063	0
ISG15	3.0257596486150864	1.62448E-12
RECQL4	3.0234582038527837	1.62437E-12
RNF183	3.0004873026363468	1.62437E-12
TACC3	2.9649084467338787	1.62448E-12
TRPM2	2.957939289859522	1.62459E-12
VAV3	2.9364570637827088	1.62437E-12
SBK1	2.9235326189672635	1.62437E-12
HIST2H2AC	2.883537587584005	1.11022E-16
E2F1	2.879873675040552	0
CKMT1B	2.861889111368503	1.62459E-12
CCNB1	2.8584541893466615	0
NQO1	2.853438846628537	1.11022E-16
CXCL17	2.8533971520143147	0
CKMT1A	2.8307339929167186	0
GDF15	2.8288446971288743	1.62448E-12
PVRL4	2.822625767272495	1.62448E-12
NUSAP1	2.8107944398760774	0
PRSS8	2.8024975546075153	0
PHLDA2	2.8003774467329254	0
GGT1	2.791140932432226	1.62448E-12
UBE2T	2.7899629655227063	1.62448E-12
ECE2	2.789432044571525	1.11022E-16
TUBB3	2.789038655453715	1.11022E-16
ALDH3B2	2.7534820348468045	1.62448E-12
CCNA2	2.7315954245370895	0
IFI6	2.717108134998517	0
APOBEC3B	2.6789983394322614	1.62437E-12
KIF11	2.668424047912681	0
GGH	2.6554872386521446	0
LAD1	2.6463660238762308	1.62448E-12
STC2	2.6375277985888514	0
BEX5	2.6362855084407153	1.62481E-12
ECT2	2.629616033777484	0
TPI1P3	2.6206701943515034	1.62437E-12
IFI30	2.611326390498466	1.62448E-12
GGTLC2	2.602096404879165	1.62448E-12
HIST2H2AA3	2.5932451342245977	0
CBX2	2.591610203488709	1.62448E-12
CDK1	2.580559155066851	1.62437E-12
RDH10	2.5744398880776593	0
CDKN3	2.562525618254102	0
SPP1	2.559018774707776	6.91225E-13
HN1	2.5576961271728567	0
MLF1IP	2.5540290154564995	1.62448E-12
KRT8	2.546056832008303	0
MAP2K6	2.544712879377959	1.62437E-12
HES6	2.539086648986103	1.62437E-12
GYLTL1B	2.5349541890836664	1.62459E-12
RAC3	2.5087270579706415	1.62459E-12
MT1G	2.505633889441788	1.688E-06
HIST1H2AE	2.494880265654891	1.62448E-12
FGF18	2.4928229945752	0
LMNB1	2.487361659658839	1.62437E-12
DBNDD1	2.474725619869474	1.62448E-12
SLC7A5	2.4633575878878875	1.62459E-12
KPNA2	2.4552093334765575	1.62448E-12
PRC1	2.4479241281589688	1.62448E-12
NUP210	2.447609712333808	0
ESPN	2.422461675024056	0
EFCAB4A	2.4173763776029937	0
FABP5	2.414194407545204	0
EZH2	2.410654642316797	1.62448E-12
CCNO	2.408477220611882	1.62448E-12
SMPDL3B	2.4054131524382845	1.62448E-12
CKS2	2.3890626193168436	0
KRT17	2.3839727957789663	6.7815E-07
C10orf81	2.359925646873719	1.62437E-12
CNFN	2.342931917118969	6.10101E-12
CCNA1	2.3377387878970373	1.62437E-12
STXBP6	2.3278521226118567	1.11022E-16
C4orf48	2.3276957458650203	1.62448E-12
TMEM132A	2.3253249096932653	1.62448E-12
HIST1H2BC	2.3119751694834627	1.11022E-16
SCD	2.307229171768273	0
UCHL1	2.2897324695234116	1.62437E-12
CTAGE4	2.286156832713086	1.62448E-12
CBLC	2.2839866616122935	1.62437E-12
GINS2	2.2837948729587887	1.62448E-12
SLC16A3	2.26982886841267	1.62448E-12
ALPL	2.2654378175372547	1.62448E-12
EDARADD	2.2621602597969215	0
HAPLN3	2.2532891993702	1.62437E-12
TACSTD2	2.250157636598546	0
HOXB8	2.2471635262658687	1.62448E-12
MTP18	2.2395188330416205	1.62448E-12
SCGB2A1	2.238615051275665	1.62514E-12
PYCR1	2.2358967282568996	0
SLC25A10	2.232478137489103	1.62448E-12
SERINC2	2.228685904427507	0
IGSF9	2.223673252793623	0
TYMS	2.219860340351381	0
SPAG4	2.2007727678705566	0
SPTBN2	2.1982584357313235	0
LOC96610	2.193869108624268	5.6946E-10
MEX3A	2.183112182054947	0
KRT23	2.179051237228798	1.62448E-12
FAM110A	2.170760417534275	1.62448E-12
UBE2S	2.1538527020595795	0
VTCN1	2.152804416069253	1.62448E-12
PAQR4	2.1517557798193305	0
ADM	2.143101997192017	1.62448E-12
BSPRY	2.143090881123329	1.62448E-12
TUBA1C	2.1428816992420545	0
MGC72080	2.136811944778919	1.62437E-12
PAFAH1B3	2.1243012308050817	0
RACGAP1	2.123193103284501	0
FLJ45445	2.1216775955647424	1.29563E-13
SLPI	2.1139098900871245	1.62526E-12
MAPK13	2.105810852019368	0
MAD2L1	2.1055716279451264	1.62448E-12
WFDC2	2.102523393814499	0
PODXL2	2.101049716108614	1.62448E-12
HIST1H1C	2.0912867330162817	1.62448E-12
SPINT1	2.0905159927116266	0
LCN2	2.0890181884703205	4.3146E-08
TRIP13	2.084901141728587	0
KRT18	2.0684463280800927	0
CDCP1	2.0656700861957518	0
FASN	2.0593398190977754	0
IDO1	2.0514860471576353	2.3261E-10
TLCD1	2.048399765299581	0
ST6GALNAC1	2.045538846683251	1.62437E-12
SEL1L3	2.0399043163839394	1.62448E-12
TBC1D7	2.0395268134056104	0
SERPINA1	2.03508364526257	2.6477E-11
TM7SF2	2.026055717114337	0
RHPN1	2.0216861317455606	1.62448E-12
EPCAM	2.0179491251620822	1.62448E-12
IFI27	2.0177857047442274	0
CENPM	2.0139697251331	1.62481E-12
DPP3	2.012851970969618	0
FANCI	2.0127841477816335	1.62448E-12
MCM4	2.0096388534870306	1.62448E-12
FXYD3	2.006539023796976	1.62448E-12
LTB	2.004024579413012	4.65761E-12
RPS26P11	1.998596546240361	4.0223E-11
MCM2	1.9836929868196769	1.62448E-12
C1orf106	1.9767984127969482	4.06342E-14
FEN1	1.9725967529478063	0
IDH2	1.9706758956320853	0
ITGB6	1.9656184227215838	6.17884E-12
