Gene	log2FC	P-value
CST1	7.453071985307092	1.4717E-06
S100A7	6.894041470634412	1.5011E-08
CLDN3	6.831199420568759	1.62459E-12
HOXC10	6.577959041119219	0
MMP3	6.390218070981536	1.5767E-06
MMP12	6.369755787411367	1.7002E-10
MMP11	6.257816332276241	1.62448E-12
SPP1	6.082495769911179	1.4454E-10
IGF2BP3	5.876891111524581	1.62448E-12
CXCL1	5.598209127461089	8.2956E-07
CCL20	5.464470825446958	2.19713E-12
IL8	5.410843349020684	1.1229E-11
CXCL10	5.251534242751323	2.4522E-05
SAA1	5.07454766976935	5.04907E-12
MMP1	5.039857033746795	2.2407E-10
MMP9	4.863995586853109	9.10489E-11
MMP7	4.796311062599864	2.2889E-05
LAMP3	4.643805497197019	1.62448E-12
UBD	4.6004040780087685	1.2858E-10
APOC1	4.498945409687171	1.64468E-12
WDR72	4.492987565775721	0
MFI2	4.296740845974948	0
NEK2	4.275752601476704	1.62448E-12
CXCL9	4.269503138547263	2.3025E-08
TOP2A	4.2637026591696	0
CTHRC1	4.166651561722531	0
HOXB7	4.16533306580849	1.62448E-12
NUF2	4.0705556850828355	1.62448E-12
GRIN2D	4.056349551770405	1.62448E-12
UBE2C	4.053463247682035	0
HOXA10	4.019255494925343	1.62437E-12
TPX2	3.959550964812902	1.62437E-12
MYBL2	3.9493759467338783	1.62448E-12
KIF4A	3.9168500162331608	1.62448E-12
CDC6	3.8899387425122596	1.70219E-12
TROAP	3.8823397620094275	1.62437E-12
CLDN1	3.871418849262378	0
LCN2	3.8527690066753926	5.26579E-12
CENPA	3.8440236622838255	0
TRIP13	3.812735137479119	8.2262E-10
BUB1	3.790773401333259	0
CENPF	3.763512654132516	0
BIRC5	3.745482763059533	0
BAMBI	3.7434412835943793	1.278E-11
CDCA5	3.7226765999534543	1.62448E-12
ISG15	3.719083370719273	1.62448E-12
CCNB2	3.7088549300802223	1.62448E-12
UBE2T	3.706228241168544	1.62448E-12
AURKB	3.7059552108406986	0
FAM64A	3.6963784115013443	1.62459E-12
CDC20	3.6916110087163254	1.62437E-12
APOE	3.6854889055565048	6.08746E-12
KIF2C	3.684896479444826	1.11022E-16
KIF18A	3.6708268343405326	0
ASPM	3.663264318114521	1.62448E-12
NCAPH	3.6552886577966928	0
EPR1	3.6543710844381643	1.62448E-12
CDCA7	3.6528433935995177	0
IFI6	3.648822332448152	0
CEP55	3.6469544010857726	1.62448E-12
DLGAP5	3.6445753082601886	0
FAM72B	3.6423986214269966	0
HJURP	3.6264331871742432	1.62437E-12
KIF20A	3.625007505592296	1.62437E-12
PLAU	3.624968356931063	1.62448E-12
NDC80	3.614314685883659	1.62503E-12
PCSK9	3.6028431066773363	2.5432E-11
PKMYT1	3.5926691950150835	0
PRR11	3.591569638217949	0
SNORA76	3.576339878834079	1.65901E-12
SPAG5	3.5624921070195765	7.33791E-12
